Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,Player-additional
190,Anthony Lamb,SF,25,GSW,1,0,7,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,1,1,0,0,lamban01
191,Meyers Leonard,C,30,MIL,2,0,5,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0,leoname01
192,Kenneth Lofton Jr.,PF,20,MEM,2,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,loftoke01
193,Jordan McLaughlin,PG,26,MIN,2,0,14,0,4,.000,0,2,.000,0,2,.000,.000,0,0,,0,2,2,2,0,0,0,2,0,mclaujo01
194,Patty Mills,PG,34,BRK,1,0,5,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,1,0,millspa02
195,Josh Minott,SF,20,MIN,1,0,6,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,2,1,1,1,0,minotjo01
196,Wendell Moore Jr.,SG,21,MIN,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,moorewe01
197,Mike Muscala,C,31,BOS,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,muscami01
198,Cameron Payne,PG,28,PHO,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,2,0,0,0,0,0,payneca01
199,Jason Preston,PG,23,LAC,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,prestja01
200,Payton Pritchard,PG,25,BOS,1,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,pritcpa01
201,Derrick Rose,PG,34,NYK,1,0,3,0,4,.000,0,1,.000,0,3,.000,.000,0,0,,0,0,0,1,0,0,0,0,0,rosede01
202,Terrence Ross,SG,31,PHO,1,0,4,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0,rosste01
203,Ricky Rubio,PG,32,CLE,3,0,17,0,1,.000,0,0,,0,1,.000,.000,0,0,,2,4,6,3,1,0,5,5,0,rubiori01
204,Ish Smith,PG,34,DEN,1,0,4,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,1,0,smithis01
205,Jaden Springer,SG,20,PHI,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,sprinja01
206,Edmond Sumner,SG,27,BRK,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0,sumneed01
207,Ish Wainright,SF,28,PHO,2,0,7,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,1,1,0,0,1,0,1,0,wainris01
208,Lonnie Walker IV,SG,24,LAL,2,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,walkelo01
209,T.J. Warren,SF,29,PHO,2,0,6,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,2,0,warretj01
210,Peyton Watson,SG,20,DEN,1,0,4,0,1,.000,0,1,.000,0,0,,.000,0,0,,1,0,1,1,0,0,0,0,0,watsope01
211,Ziaire Williams,SF,21,MEM,2,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,willizi02
212,Omer Yurtseven,C,24,MIA,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0,yurtsom01
