player,G,date,age,team,H/A,opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pos,season,KM
Al-Farouq Aminu,13,2012-11-26,22-066,NOH,0,LAC,7,1,35.266666666666666,4,10,.400,0,0,,2,3,.667,3,5,8,1,4,0,2,2,10,9.7,-8,SF,2013,15
Al-Farouq Aminu,14,2012-11-28,22-068,NOH,1,UTA,-12,1,29.783333333333335,3,8,.375,0,0,,0,0,,4,2,6,1,3,0,6,1,6,2.3,-5,SF,2013,15
Al-Farouq Aminu,15,2012-12-01,22-071,NOH,1,OKC,-21,1,23.95,4,12,.333,0,0,,0,0,,2,4,6,0,0,0,0,1,8,3.4,-5,SF,2013,15
Al-Farouq Aminu,16,2012-12-03,22-073,NOH,1,MIL,21,1,27.633333333333333,4,7,.571,1,1,1.000,0,0,,2,4,6,2,1,0,1,3,9,8.5,+4,SF,2013,15
Al-Farouq Aminu,17,2012-12-05,22-075,NOH,1,LAL,-16,1,34.166666666666664,3,6,.500,0,0,,0,3,.000,3,7,10,2,0,0,1,2,6,5.6,-13,SF,2013,15
Al-Farouq Aminu,18,2012-12-08,22-078,NOH,0,MIA,-16,0,7.95,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,-7,SF,2013,15
Al-Farouq Aminu,19,2012-12-11,22-081,NOH,1,WAS,-7,1,26.583333333333332,2,8,.250,0,0,,2,2,1.000,0,6,6,1,1,0,1,3,6,2.5,0,SF,2013,15
Al-Farouq Aminu,20,2012-12-12,22-082,NOH,0,OKC,-4,1,21.533333333333335,2,5,.400,0,0,,4,4,1.000,1,5,6,0,1,0,2,4,8,4.9,+8,SF,2013,15
Al-Farouq Aminu,21,2012-12-14,22-084,NOH,1,MIN,-11,1,24.583333333333332,3,5,.600,0,0,,0,0,,2,6,8,1,1,1,1,1,6,7.9,+3,SF,2013,15
Al-Farouq Aminu,22,2012-12-16,22-086,NOH,0,POR,-1,1,8.116666666666667,0,1,.000,0,0,,0,0,,2,3,5,1,0,0,0,0,0,2.3,-2,SF,2013,15
Al-Farouq Aminu,23,2012-12-18,22-088,NOH,0,GSW,-7,0,3.5,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5,SF,2013,15
Al-Farouq Aminu,24,2012-12-28,22-098,NOH,1,TOR,-7,0,3.8,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-1.2,-3,SF,2013,15
Al-Farouq Aminu,25,2013-01-01,22-102,NOH,1,ATL,-9,0,5.433333333333334,0,2,.000,0,0,,0,0,,0,2,2,1,0,0,0,0,0,-0.1,-4,SF,2013,15
Al-Farouq Aminu,26,2013-01-02,22-103,NOH,0,HOU,-12,0,30.833333333333332,3,8,.375,0,0,,2,4,.500,2,6,8,1,0,0,1,1,8,5.3,-1,SF,2013,15
Al-Farouq Aminu,27,2013-01-05,22-106,NOH,0,DAL,3,1,38.53333333333333,3,6,.500,0,0,,4,4,1.000,2,11,13,3,3,1,1,1,10,16.1,+4,SF,2013,15
Al-Farouq Aminu,28,2013-01-07,22-108,NOH,1,SAS,7,1,37.266666666666666,2,5,.400,0,1,.000,0,0,,0,10,10,3,3,1,5,2,4,4.3,+8,SF,2013,15
Al-Farouq Aminu,29,2013-01-09,22-110,NOH,1,HOU,9,1,25.2,2,7,.286,0,0,,0,0,,4,6,10,0,2,1,3,2,4,3.4,-10,SF,2013,15
Al-Farouq Aminu,30,2013-01-11,22-112,NOH,1,MIN,12,1,30.816666666666666,5,7,.714,0,0,,2,2,1.000,3,10,13,3,3,1,2,2,12,17.2,+15,SF,2013,15
Al-Farouq Aminu,31,2013-01-13,22-114,NOH,0,NYK,-13,1,25.95,1,1,1.000,0,0,,0,0,,2,9,11,0,0,2,1,3,2,5.0,-7,SF,2013,15
Al-Farouq Aminu,32,2013-01-15,22-116,NOH,0,PHI,12,1,22.633333333333333,2,4,.500,0,0,,1,2,.500,2,6,8,1,0,0,0,1,5,6.1,+11,SF,2013,15
Al-Farouq Aminu,33,2013-01-16,22-117,NOH,0,BOS,12,1,27.466666666666665,3,9,.333,0,0,,12,13,.923,1,8,9,1,2,0,2,4,18,14.7,+18,SF,2013,15
Al-Farouq Aminu,34,2013-01-19,22-120,NOH,1,GSW,-4,1,34.81666666666667,7,9,.778,0,0,,0,1,.000,3,7,10,1,2,1,1,3,14,15.5,+7,SF,2013,15
Al-Farouq Aminu,35,2013-01-21,22-122,NOH,1,SAC,9,1,34.61666666666667,5,7,.714,1,1,1.000,3,4,.750,4,7,11,3,1,0,3,3,14,14.5,+10,SF,2013,15
Al-Farouq Aminu,36,2013-01-23,22-124,NOH,0,SAS,-4,1,32.3,4,7,.571,0,1,.000,0,1,.000,2,10,12,2,0,0,0,3,8,8.9,-4,SF,2013,15
Al-Farouq Aminu,37,2013-01-25,22-126,NOH,1,HOU,-18,1,23.416666666666668,5,10,.500,1,2,.500,0,0,,3,3,6,2,2,0,2,2,11,9.6,-9,SF,2013,15
Al-Farouq Aminu,38,2013-01-27,22-128,NOH,0,MEM,8,1,30.433333333333334,4,9,.444,0,0,,1,2,.500,2,10,12,0,0,1,2,1,9,6.6,+3,SF,2013,15
Al-Farouq Aminu,39,2013-01-29,22-130,NOH,0,LAL,-5,1,16.65,0,4,.000,0,0,,0,0,,0,2,2,0,1,0,0,4,0,-2.8,-11,SF,2013,15
Al-Farouq Aminu,40,2013-01-30,22-131,NOH,0,UTA,-5,1,29.233333333333334,1,4,.250,0,1,.000,1,2,.500,2,11,13,0,1,0,0,2,3,5.1,+15,SF,2013,15
Al-Farouq Aminu,41,2013-02-01,22-133,NOH,0,DEN,-15,1,13.3,1,1,1.000,0,0,,1,1,1.000,0,5,5,1,0,0,2,0,3,2.9,+1,SF,2013,15
Al-Farouq Aminu,42,2013-02-02,22-134,NOH,0,MIN,-29,1,23.616666666666667,0,2,.000,0,0,,2,2,1.000,0,3,3,0,3,1,4,2,2,0.4,-7,SF,2013,15
Al-Farouq Aminu,43,2013-02-06,22-138,NOH,1,PHX,9,1,30.283333333333335,7,9,.778,0,0,,2,2,1.000,1,10,11,1,1,0,1,2,16,16.1,+5,SF,2013,15
Al-Farouq Aminu,44,2013-02-08,22-140,NOH,0,ATL,11,1,19.433333333333334,0,1,.000,0,0,,0,0,,1,7,8,0,1,1,1,0,0,2.8,+6,SF,2013,15
Al-Farouq Aminu,45,2013-02-10,22-142,NOH,0,TOR,-13,1,27.0,1,2,.500,0,0,,2,6,.333,0,4,4,0,0,1,0,1,4,2.9,-24,SF,2013,15
Al-Farouq Aminu,46,2013-02-11,22-143,NOH,0,DET,19,1,27.95,4,7,.571,0,0,,4,4,1.000,3,11,14,4,2,2,2,2,12,17.5,+20,SF,2013,15
Al-Farouq Aminu,47,2013-02-13,22-145,NOH,1,POR,36,1,28.483333333333334,5,9,.556,0,0,,0,0,,2,7,9,1,0,0,1,0,10,8.9,+15,SF,2013,15
Al-Farouq Aminu,48,2013-02-19,22-151,NOH,1,CHI,-9,1,33.4,5,6,.833,0,0,,0,0,,2,5,7,1,3,2,3,2,10,12.0,-4,SF,2013,15
Al-Farouq Aminu,49,2013-02-20,22-152,NOH,0,CLE,-5,1,35.61666666666667,1,2,.500,0,0,,2,2,1.000,2,8,10,3,1,2,0,0,4,11.3,-1,SF,2013,15
Al-Farouq Aminu,50,2013-02-22,22-154,NOH,1,DAL,-4,1,37.416666666666664,3,10,.300,0,0,,1,2,.500,4,6,10,6,3,2,2,2,7,11.2,-6,SF,2013,15
Al-Farouq Aminu,51,2013-02-24,22-156,NOH,1,SAC,15,1,30.7,2,6,.333,0,1,.000,0,0,,1,7,8,2,3,3,1,2,4,8.1,+4,SF,2013,15
Al-Farouq Aminu,52,2013-02-26,22-158,NOH,1,BKN,-4,1,28.65,2,6,.333,0,0,,0,0,,2,3,5,0,1,2,1,2,4,3.5,-2,SF,2013,15
