,player,team,line,stat,league,date,time
1175,Zay Flowers,Weeks 6-9,250.5,Receiving Yards,263,2023-10-12,2023-10-11 13:51:00
1176,Bijan Robinson,WAS,71.5,Rush Yards,9,2023-10-15,2023-10-11 13:51:00
1177,Zay Flowers,Weeks 6-9,19.5,Receptions,263,2023-10-12,2023-10-11 13:51:00
1178,Garrett Greene,HOU,237.5,Pass+Rush Yds,15,2023-10-12,2023-10-11 13:51:00
1179,Russell Westbrook,2023-2024 Season,6.9,Assists Per Game AVG,173,2023-10-25,2023-10-11 13:51:00
1180,CJ Donaldson,HOU,85.5,Rush Yards,15,2023-10-12,2023-10-11 13:51:00
1181,Mark Andrews,Weeks 6-9,235.5,Receiving Yards,263,2023-10-12,2023-10-11 13:51:00
1182,Mark Andrews,Weeks 6-9,18.5,Receptions,263,2023-10-12,2023-10-11 13:51:00
1183,Brian Robinson Jr.,ATL,61.5,Rush Yards,9,2023-10-15,2023-10-11 13:51:00
1184,Kyle Hamilton,Weeks 6-9,0.5,INT,263,2023-10-12,2023-10-11 13:51:00
1185,Justin Tucker,Weeks 6-9,6.5,FG Made,263,2023-10-12,2023-10-11 13:51:00
1186,P.J. Tucker,2023-2024 Season,3.5,Technical Fouls,173,2023-10-26,2023-10-11 13:51:00
1187,Samuel Brown,WVU,76.5,Receiving Yards,15,2023-10-12,2023-10-11 13:51:00
1188,Justin Tucker,Weeks 6-9,1.5,50+ Yard FG Made,263,2023-10-12,2023-10-11 13:51:00
1189,Mitch Marner,2023-2024 Season,99.5,PTS,236,2023-10-11,2023-10-11 13:51:00
1190,Devin Carter,HOU,35.5,Receiving Yards,15,2023-10-12,2023-10-11 13:51:00
1191,Brady Tkachuk,2023-2024 Season,85.5,PTS,236,2023-10-11,2023-10-11 13:51:00
1192,Matthew Golden,WVU,59.5,Receiving Yards,15,2023-10-12,2023-10-11 13:51:00
1193,Sebastian Aho,2023-2024 Season,72.5,PTS,236,2023-10-11,2023-10-11 13:51:00
1194,Hudson Clement,HOU,38.5,Receiving Yards,15,2023-10-12,2023-10-11 13:51:00
1195,Joseph Manjack,WVU,46.5,Receiving Yards,15,2023-10-12,2023-10-11 13:51:00
1196,David Pastrnak,2023-2024 Season,93.5,PTS,236,2023-10-11,2023-10-11 13:51:00
1197,Kole Taylor,HOU,28.5,Receiving Yards,15,2023-10-12,2023-10-11 13:51:00
1198,Terry McLaurin,ATL,56.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1199,Brad Marchand,2023-2024 Season,70.5,PTS,236,2023-10-11,2023-10-11 13:51:00
1200,Giannis Antetokounmpo,2023-2024 Season,4.5,Triple-Doubles,173,2023-10-24,2023-10-11 13:51:00
1201,Giannis Antetokounmpo,2023-2024 Season,29.2,Points Per Game AVG,173,2023-10-26,2023-10-11 13:51:00
1202,Giannis Antetokounmpo,2023-2024 Season,0.5,50+ Point Games,173,2023-10-24,2023-10-11 13:51:00
1203,Giannis Antetokounmpo,2023-2024 Season,11.7,Rebounds Per Game AVG,173,2023-10-26,2023-10-11 13:51:00
1204,Charlie McAvoy,2023-2024 Season,58.5,PTS,236,2023-10-11,2023-10-11 13:51:00
1205,Drake London,WAS,44.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1206,Joel Embiid,2023-2024 Season,1.5,50+ Point Games,173,2023-10-26,2023-10-11 13:51:00
1207,Joel Embiid,2023-2024 Season,0.5,Triple-Doubles,173,2023-10-26,2023-10-11 13:51:00
1208,Joel Embiid,2023-2024 Season,7.5,Technical Fouls,173,2023-10-26,2023-10-11 13:51:00
1209,Nathan MacKinnon,2023-2024 Season,112.5,PTS,236,2023-10-11,2023-10-11 13:51:00
1210,Bobby Portis,2023-2024 Season,9.1,Rebounds Per Game AVG,173,2023-10-26,2023-10-11 13:51:00
1211,Connor McDavid,2023-2024 Season,135.5,PTS,236,2023-10-11,2023-10-11 13:51:00
1212,Bobby Portis,2023-2024 Season,6.5,Technical Fouls,173,2023-10-26,2023-10-11 13:51:00
1213,Cale Makar,2023-2024 Season,78.5,PTS,236,2023-10-11,2023-10-11 13:51:00
1214,Patrick Beverley,2023-2024 Season,0.5,Double-Doubles,173,2023-10-26,2023-10-11 13:51:00
1215,Adrian Kempe,2023-2024 Season,67.5,PTS,236,2023-10-11,2023-10-11 13:51:00
