,player,player_id,line,stat,league_id,event_time,Opp,Team,count,over_prob,under_prob,pred
81,Alexander Kirilloff,41805,0.5,Total Hits,5,2023-10-07T20:00:00,HOU,MIN,8,,,0.5
82,Alexander Kirilloff,41805,0.5,Total Hits,5,2023-10-07T20:00:00,HOU,MIN,9,,,0.5
83,Alexander Mattison,38241,3.0,bt15,1,2023-10-08T20:25:00,MIN,KC,1,0.5,0.5,3.2378672975861145
84,Alexander Mattison,38241,3.5,bt15,1,2023-10-08T20:25:00,MIN,KC,9,0.4072438324072827,0.5927561675927172,3.2378672975861145
85,Alexander Mattison,38241,9.5,bt66,1,2023-10-08T20:25:00,MIN,KC,5,0.490181990203785,0.5098180097962149,9.590645099970557
86,Alexander Mattison,38241,14.5,bt67,1,2023-10-08T20:25:00,MIN,KC,3,0.4887989197126743,0.5112010802873258,14.560118296690918
87,Alexander Mattison,38241,16.5,bt16,1,2023-10-08T20:25:00,MIN,KC,10,0.4926515094372887,0.5073484905627114,16.68998761209086
88,Alexander Mattison,38241,17.5,bt16,1,2023-10-08T20:25:00,MIN,KC,1,0.5,0.5,16.68998761209086
89,Alexander Mattison,38241,50.5,bt12,1,2023-10-08T20:25:00,MIN,KC,1,0.5101214574898786,0.4898785425101215,53.610871533111066
90,Alexander Mattison,38241,52.5,bt12,1,2023-10-08T20:25:00,MIN,KC,1,0.5,0.5,53.610871533111066
91,Alexander Mattison,38241,53.5,bt12,1,2023-10-08T20:25:00,MIN,KC,11,0.4915668146584995,0.5084331853415005,53.610871533111066
92,Alexander Mattison,38241,54.5,bt12,1,2023-10-08T20:25:00,MIN,KC,5,0.494909179767044,0.5050908202329559,53.610871533111066
93,Alexander Mattison,38241,74.5,bt68,1,2023-10-08T20:25:00,MIN,KC,5,0.5001468371265412,0.4998531628734587,74.69047525872222
94,Allen Lazard,38652,2.5,bt15,1,2023-10-08T20:25:00,DEN,NYJ,10,0.5844051983563132,0.4155948016436868,3.0435096608133207
95,Allen Lazard,38652,3.0,bt15,1,2023-10-08T20:25:00,DEN,NYJ,1,0.5,0.5,3.0435096608133207
96,Allen Lazard,38652,17.5,bt66,1,2023-10-08T20:25:00,DEN,NYJ,6,0.494552555284091,0.5054474447159091,17.61006632595295
97,Allen Lazard,38652,34.5,bt16,1,2023-10-08T20:25:00,DEN,NYJ,12,0.4993778094736799,0.5006221905263201,34.73668029011631
98,Allen Lazard,38652,35.5,bt16,1,2023-10-08T20:25:00,DEN,NYJ,1,0.4898785425101215,0.5101214574898786,34.73668029011631
