,prop_id,player,player_id,line,stat,league_id,event_time,opp,Team,count,over_prob,under_prob,pred,scrape_time
1156,c1a9fdd1-9,Scoot Henderson,417263,8.5,TRB+AST,3,2023-10-30 18:30:00-05:00,TOR,POR,5,0.471865607020116,0.5281343929798841,8.418544870078032,2023-10-31 09:18:00-05:00
1157,c1d52bd1-6,Shai Gilgeous-Alexander,43395,35.5,PTS+AST,3,2023-10-30 19:00:00-05:00,OKC,DET,7,0.4885639766465606,0.5114360233534394,35.5,2023-10-31 09:18:00-05:00
1158,c1dfd15f-1,Jalen Johnson,43456,1.5,STL,3,2023-10-30 18:30:00-05:00,ATL,MIN,3,0.3597106149023958,0.640289385097604,1.2633864544291007,2023-10-31 09:18:00-05:00
1159,c22a6805-4,Karl-Anthony Towns,43144,2.5,TO,3,2023-10-30 18:30:00-05:00,ATL,MIN,3,0.5599269346989051,0.440073065301095,2.9231707178896635,2023-10-31 09:18:00-05:00
1160,c23c9acb-2,Ausar Thompson,417201,12.5,PTS+AST,3,2023-10-30 19:00:00-05:00,OKC,DET,5,0.503013246848291,0.496986753151709,12.82084023336359,2023-10-31 09:18:00-05:00
1161,c23c9acb-2,Ausar Thompson,417201,13.5,PTS+AST,3,2023-10-30 19:00:00-05:00,OKC,DET,1,0.4761410788381742,0.5238589211618258,12.82084023336359,2023-10-31 09:18:00-05:00
1162,c2665e7c-f,Jared Goff,38695,1.5,Rush Yards,1,2023-10-30 19:15:00-05:00,DET,LV,10,0.5027552644479405,0.4972447355520594,1.6850333639054214,2023-10-31 09:18:00-05:00
1163,c278aca8-5,Karl-Anthony Towns,43144,33.5,PTS+TRB+AST,3,2023-10-30 18:30:00-05:00,ATL,MIN,13,0.495198139583143,0.504801860416857,33.61062825943816,2023-10-31 09:18:00-05:00
1164,c27a647b-d,Dorian Finney-Smith,43020,15.5,PTS+TRB,3,2023-10-30 18:00:00-05:00,CHA,BKN,6,0.4858598063298979,0.5141401936701021,15.526993618893792,2023-10-31 09:18:00-05:00
1165,c2c0a842-9,Herbert Jones,237474,14.5,PTS+TRB,3,2023-10-30 19:00:00-05:00,NOP,GSW,3,0.496785841288946,0.503214158711054,14.635405361994358,2023-10-31 09:18:00-05:00
1166,c2d11825-0,Michael Porter,43516,23.5,PTS+TRB+AST,3,2023-10-30 20:00:00-05:00,DEN,UTA,6,0.5143168096312318,0.4856831903687681,23.84202164307252,2023-10-31 09:18:00-05:00
1167,c2d72380-e,Deni Avdija,43250,10.5,PTS,3,2023-10-30 18:00:00-05:00,WAS,BOS,13,0.4880487563391697,0.5119512436608302,10.57014264259887,2023-10-31 09:18:00-05:00
1168,c313f0c0-c,Jayson Tatum,43294,29.5,PTS+AST,3,2023-10-30 18:00:00-05:00,WAS,BOS,6,0.5148067950379102,0.4851932049620898,29.94872361291984,2023-10-31 09:18:00-05:00
1169,c313f0c0-c,Jayson Tatum,43294,30.5,PTS+AST,3,2023-10-30 18:00:00-05:00,WAS,BOS,1,0.4761410788381742,0.5238589211618258,29.94872361291984,2023-10-31 09:18:00-05:00
1170,c3141b9d-8,Dennis Schroder,242105,23.5,PTS+TRB+AST,3,2023-10-30 18:30:00-05:00,TOR,POR,1,0.510397604391948,0.4896023956080519,24.38020719052017,2023-10-31 09:18:00-05:00
1171,c3141b9d-8,Dennis Schroder,242105,24.5,PTS+TRB+AST,3,2023-10-30 18:30:00-05:00,TOR,POR,7,0.482677974183508,0.517322025816492,24.38020719052017,2023-10-31 09:18:00-05:00
1172,c341850c-d,Josh Reynolds,34180,18.5,Longest Reception,1,2023-10-30 19:15:00-05:00,DET,LV,1,0.5,0.5,19.49411701004722,2023-10-31 09:18:00-05:00
1173,c341850c-d,Josh Reynolds,34180,19.5,Longest Reception,1,2023-10-30 19:15:00-05:00,DET,LV,11,0.4912096597304654,0.5087903402695344,19.49411701004722,2023-10-31 09:18:00-05:00
1174,c34babf0-7,Cade Cunningham,43175,23.5,PTS,3,2023-10-30 19:00:00-05:00,OKC,DET,1,0.5,0.5,23.66734314035028,2023-10-31 09:18:00-05:00
1175,c34f448f-c,Bam Adebayo,42849,20.5,PTS+AST,3,2023-10-30 19:00:00-05:00,MIL,MIA,7,0.4880249929395884,0.5119750070604117,20.531340678316592,2023-10-31 09:18:00-05:00
1176,c376322b-a,Jaren Jackson,42485,0.5,Techs,3,2023-10-30 19:00:00-05:00,MEM,DAL,1,0.248007878950667,0.751992121049333,0.2853305323868257,2023-10-31 09:18:00-05:00
1177,c433d1da-0,Jaylen Brown,242292,5.5,TRB,3,2023-10-30 18:00:00-05:00,WAS,BOS,12,0.5413357856334592,0.4586642143665409,5.936043239409899,2023-10-31 09:18:00-05:00
1178,c433d1da-0,Jaylen Brown,242292,6.0,TRB,3,2023-10-30 18:00:00-05:00,WAS,BOS,1,0.5,0.5,5.936043239409899,2023-10-31 09:18:00-05:00
1179,c43e0157-a,Desmond Bane,235715,0.5,STL,3,2023-10-30 19:00:00-05:00,MEM,DAL,9,0.6213720785064161,0.378627921493584,0.9691807072266756,2023-10-31 09:18:00-05:00
1180,c47a0bff-c,Deandre Ayton,43491,22.5,PTS+TRB,3,2023-10-30 18:30:00-05:00,TOR,POR,6,0.4853101785813169,0.5146898214186831,22.5,2023-10-31 09:18:00-05:00
1181,c4ee5a6c-d,Desmond Bane,235715,0.5,BLK,3,2023-10-30 19:00:00-05:00,MEM,DAL,4,0.2956402445615402,0.7043597554384596,0.3505932789190832,2023-10-31 09:18:00-05:00
1182,c54d899c-4,Deandre Ayton,43491,9.5,TRB,3,2023-10-30 18:30:00-05:00,TOR,POR,12,0.492809395435663,0.5071906045643371,9.610549662091886,2023-10-31 09:18:00-05:00
1183,c5e95802-a,Killian Hayes,43194,2.0,TRB,3,2023-10-30 19:00:00-05:00,OKC,DET,1,0.5,0.5,2.278381872323227,2023-10-31 09:18:00-05:00
1184,c5e95802-a,Killian Hayes,43194,2.5,TRB,3,2023-10-30 19:00:00-05:00,OKC,DET,4,0.4057340964078794,0.5942659035921205,2.278381872323227,2023-10-31 09:18:00-05:00
1185,c5ed78d2-e,Lauri Markkanen,43502,31.5,PTS+TRB+AST,3,2023-10-30 20:00:00-05:00,DEN,UTA,6,0.4924523673536189,0.507547632646381,31.56786118923375,2023-10-31 09:18:00-05:00
1186,c60765d9-f,Tyus Jones,109,22.5,PTS+TRB+AST,3,2023-10-30 18:00:00-05:00,WAS,BOS,13,0.4986787354215097,0.5013212645784904,22.651388785722045,2023-10-31 09:18:00-05:00
1187,c6cf5d85-e,Jimmy Garoppolo,38599,257.5,Pass+Rush Yds,1,2023-10-30 19:15:00-05:00,DET,LV,3,0.5015585357013411,0.4984414642986589,257.76824626436144,2023-10-31 09:18:00-05:00
1188,c74af0e0-5,Mitchell Garver,41159,0.5,Total Hits,5,2023-10-30 19:03:00-05:00,ARI,TEX,12,,,0.5,2023-10-31 09:18:00-05:00
1189,c74af0e0-5,Mitchell Garver,41159,0.5,Total Hits,5,2023-10-30 19:03:00-05:00,ARI,TEX,13,,,0.5,2023-10-31 09:18:00-05:00
1190,c762e583-d,Michael Porter,43516,0.5,TO,3,2023-10-30 20:00:00-05:00,DEN,UTA,1,0.5859872611464969,0.4140127388535032,0.8802083498193057,2023-10-31 09:18:00-05:00
1191,c8114aa9-0,Pascal Siakam,43005,34.5,PTS+TRB+AST,3,2023-10-30 18:30:00-05:00,TOR,POR,13,0.5010336635639293,0.4989663364360706,34.69594867629164,2023-10-31 09:18:00-05:00
1192,c8f9c1b3-b,Thomas Pham,42188,0.5,Home Runs,5,2023-10-30 19:03:00-05:00,ARI,TEX,4,,,0.5,2023-10-31 09:18:00-05:00
1193,c8f9c1b3-b,Thomas Pham,42188,0.5,Home Runs,5,2023-10-30 19:03:00-05:00,ARI,TEX,6,,,0.5,2023-10-31 09:18:00-05:00
1194,c8fcfe0b-1,LaMelo Ball,43460,15.0,TRB+AST,3,2023-10-30 18:00:00-05:00,CHA,BKN,2,0.5,0.5,15.25873735353964,2023-10-31 09:18:00-05:00
