Player,G,Date,Series,Tm,H/A,Opp,G#,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Pos,KM
Kevin Durant,16,2016-05-26,WCF,OKC,0,GSW,5,-9,1,44.6,12,31,.387,3,11,.273,13,13,1.000,0,7,7,4,1,1,3,3,40,25.5,-4,PF-SF,15
Kevin Durant,17,2016-05-28,WCF,OKC,1,GSW,6,-7,1,44.8,10,31,.323,1,8,.125,8,10,.800,2,5,7,3,2,3,3,4,29,15.0,-6,PF-SF,15
Kevin Durant,18,2016-05-30,WCF,OKC,0,GSW,7,-8,1,45.65,10,19,.526,3,7,.429,4,4,1.000,0,7,7,3,1,1,2,1,27,21.2,-4,PF-SF,15
Kevin Durant,1,2017-04-16,WC1,GSW,1,POR,1,12,1,35.93333333333333,12,20,.600,2,6,.333,6,7,.857,1,10,11,2,0,1,3,2,32,24.4,+1,PF-SF,15
Kevin Durant,2,2017-04-24,WC1,GSW,0,POR,4,25,1,20.366666666666667,4,7,.571,2,2,1.000,0,0,,0,3,3,2,1,2,3,0,10,8.4,+25,PF-SF,15
Kevin Durant,3,2017-05-02,WCS,GSW,1,UTA,1,12,1,30.966666666666665,7,17,.412,1,2,.500,2,2,1.000,1,4,5,5,1,0,1,2,17,12.5,+2,PF-SF,15
Kevin Durant,4,2017-05-04,WCS,GSW,1,UTA,2,11,1,36.0,6,13,.462,0,4,.000,13,15,.867,0,11,11,7,1,1,1,2,25,25.6,+11,PF-SF,15
Kevin Durant,5,2017-05-06,WCS,GSW,0,UTA,3,11,1,38.983333333333334,15,26,.577,4,8,.500,4,4,1.000,2,11,13,1,1,1,2,4,38,29.3,+18,PF-SF,15
Kevin Durant,6,2017-05-08,WCS,GSW,0,UTA,4,26,1,30.033333333333335,7,14,.500,2,4,.500,2,3,.667,2,4,6,5,0,0,0,4,18,15.1,+8,PF-SF,15
Kevin Durant,7,2017-05-14,WCF,GSW,1,SAS,1,2,1,38.53333333333333,11,21,.524,2,8,.250,10,12,.833,2,3,5,4,1,4,3,4,34,27.2,+14,PF-SF,15
Kevin Durant,8,2017-05-16,WCF,GSW,1,SAS,2,36,1,27.833333333333332,6,10,.600,2,5,.400,2,2,1.000,0,2,2,3,0,1,2,2,16,12.0,+21,PF-SF,15
Kevin Durant,9,2017-05-20,WCF,GSW,0,SAS,3,12,1,38.11666666666667,11,19,.579,3,5,.600,8,10,.800,0,10,10,4,2,1,7,3,33,23.6,+25,PF-SF,15
Kevin Durant,10,2017-05-22,WCF,GSW,0,SAS,4,14,1,37.61666666666667,10,13,.769,2,4,.500,7,7,1.000,1,11,12,4,0,1,5,3,29,25.2,+19,PF-SF,15
Kevin Durant,11,2017-06-01,FIN,GSW,1,CLE,1,22,1,37.55,14,26,.538,3,6,.500,7,8,.875,2,7,9,8,0,0,0,1,38,33.7,+16,PF-SF,15
Kevin Durant,12,2017-06-04,FIN,GSW,1,CLE,2,19,1,40.7,13,22,.591,4,8,.500,3,3,1.000,2,11,13,6,3,5,3,4,33,33.6,+21,PF-SF,15
Kevin Durant,13,2017-06-07,FIN,GSW,0,CLE,3,5,1,40.916666666666664,10,18,.556,4,7,.571,7,8,.875,0,9,9,4,1,1,3,2,31,25.4,0,PF-SF,15
Kevin Durant,14,2017-06-09,FIN,GSW,0,CLE,4,-21,1,39.31666666666667,9,22,.409,2,9,.222,15,16,.938,2,2,4,4,0,2,1,3,35,26.8,-22,PF-SF,15
Kevin Durant,15,2017-06-12,FIN,GSW,1,CLE,5,9,1,40.25,14,20,.700,5,8,.625,6,6,1.000,1,5,6,5,1,0,4,3,39,32.1,+18,PF-SF,15
