Player,G,Date,Age,Tm,H/A,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Pos,KM
Joel Embiid,31,2023-01-14,28-304,PHI,0,UTA,1,1,35.6,9,18,.500,2,3,.667,10,13,.769,1,6,7,2,0,2,2,2,30,22.3,+2,C,15
Joel Embiid,32,2023-01-15,28-305,PHI,0,LAL,1,1,35.93333333333333,12,21,.571,2,5,.400,9,12,.750,0,11,11,4,1,1,1,2,35,29.9,+7,C,15
Joel Embiid,33,2023-01-17,28-307,PHI,0,LAC,10,1,33.266666666666666,12,22,.545,2,5,.400,15,18,.833,3,6,9,3,0,2,5,2,41,30.8,+7,C,15
Joel Embiid,34,2023-01-19,28-309,PHI,0,POR,10,1,33.11666666666667,12,22,.545,1,3,.333,7,7,1.000,1,8,9,2,1,3,2,5,32,25.0,+12,C,15
Joel Embiid,35,2023-01-25,28-315,PHI,1,BKN,4,1,34.65,6,18,.333,1,5,.200,13,13,1.000,2,8,10,3,2,0,2,4,26,20.1,-1,C,15
Joel Embiid,36,2023-01-28,28-318,PHI,1,DEN,7,1,37.88333333333333,18,31,.581,4,7,.571,7,10,.700,6,12,18,5,3,2,6,2,47,40.2,+14,C,15
Joel Embiid,37,2023-01-30,28-320,PHI,1,ORL,-10,1,33.11666666666667,11,20,.550,1,3,.333,7,11,.636,1,10,11,5,2,2,6,5,30,21.4,-11,C,15
Joel Embiid,38,2023-02-01,28-322,PHI,1,ORL,11,1,34.833333333333336,9,17,.529,0,1,.000,10,10,1.000,3,8,11,3,0,1,2,2,28,24.2,+17,C,15
Joel Embiid,39,2023-02-03,28-324,PHI,0,SAS,12,1,27.683333333333334,10,18,.556,2,3,.667,11,13,.846,2,8,10,4,2,0,3,2,33,28.4,+13,C,15
Joel Embiid,40,2023-02-05,28-326,PHI,0,NYK,-11,1,36.3,6,16,.375,1,4,.250,18,19,.947,2,12,14,3,0,1,5,1,31,24.2,+18,C,15
