player,G,date,age,team,H/A,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pos,season,KM
Kobe Bufkin,1,2023-10-29,20-038,ATL,0,MIL,17,0,3.2333333333333334,0,2,.000,0,1,.000,1,2,.500,1,1,2,0,0,0,0,0,1,0.2,-10,SG,2024,15
Kobe Bufkin,2,2023-10-30,20-039,ATL,1,MIN,14,0,1.1833333333333333,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4,SG,2024,15
Reggie Bullock,1,2023-10-25,32-223,HOU,0,ORL,-30,0,11.233333333333333,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,1,1,0,1,3,4.3,-5,SF,2024,15
Reggie Bullock,2,2023-10-27,32-225,HOU,0,SAS,-4,0,10.85,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,0,1,1,0,-1.2,+3,SF,2024,15
Reggie Bullock,3,2023-10-29,32-227,HOU,1,GSW,-11,0,6.033333333333333,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,1,1,0,-2.5,-15,SF,2024,15
Alec Burks,1,2023-10-25,32-097,DET,0,MIA,-1,0,24.95,2,8,.250,2,5,.400,1,2,.500,0,5,5,0,0,1,0,1,7,3.6,+9,SG,2024,15
Alec Burks,2,2023-10-27,32-099,DET,0,CHA,12,0,30.75,5,10,.500,3,7,.429,11,12,.917,0,4,4,2,1,1,0,1,24,22.5,+28,SG,2024,15
Alec Burks,3,2023-10-28,32-100,DET,1,CHI,16,0,25.55,6,12,.500,6,10,.600,0,1,.000,0,2,2,0,0,1,0,1,18,12.5,+19,SG,2024,15
Alec Burks,4,2023-10-30,32-102,DET,0,OKC,-12,0,21.1,4,9,.444,3,4,.750,0,0,,1,1,2,7,0,0,0,3,11,11.0,-9,SG,2024,15
Jared Butler,1,2023-10-25,23-061,WAS,0,IND,-23,0,3.3833333333333333,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.0,+2,SG,2024,15
Jared Butler,2,2023-10-30,23-066,WAS,1,BOS,-19,0,5.516666666666667,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,1,0,0,-1.7,+4,SG,2024,15
Jimmy Butler,1,2023-10-25,34-041,MIA,1,DET,1,1,34.46666666666667,6,18,.333,0,0,,7,9,.778,8,5,13,4,2,0,0,0,19,19.9,-3,PF,2024,15
Jimmy Butler,2,2023-10-27,34-043,MIA,0,BOS,-8,1,33.68333333333333,3,11,.273,0,0,,8,9,.889,2,3,5,3,1,1,1,1,14,11.8,0,PF,2024,15
Jimmy Butler,3,2023-10-30,34-046,MIA,0,MIL,-8,1,28.716666666666665,4,11,.364,1,2,.500,4,4,1.000,2,2,4,4,0,1,1,0,13,11.4,-13,PF,2024,15
Jamal Cain,1,2023-10-27,24-221,MIA,0,BOS,-8,0,3.9166666666666665,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,1,1,0,-0.8,-5,PF,2024,15
Jamal Cain,2,2023-10-28,24-222,MIA,0,MIN,-16,0,25.366666666666667,4,8,.500,0,3,.000,0,0,,3,2,5,0,2,0,0,1,8,8.3,-23,PF,2024,15
Kentavious Caldwell-Pope,1,2023-10-24,30-248,DEN,1,LAL,12,1,36.25,8,12,.667,2,3,.667,2,2,1.000,1,1,2,1,3,1,3,5,20,15.2,+10,SG,2024,15
Kentavious Caldwell-Pope,2,2023-10-27,30-251,DEN,0,MEM,4,1,34.96666666666667,3,10,.300,2,6,.333,0,0,,0,2,2,1,5,1,0,1,8,8.8,+6,SG,2024,15
Kentavious Caldwell-Pope,3,2023-10-29,30-253,DEN,0,OKC,33,1,29.866666666666667,2,5,.400,1,4,.250,2,2,1.000,0,3,3,1,2,0,1,2,7,6.1,+21,SG,2024,15
Kentavious Caldwell-Pope,4,2023-10-30,30-254,DEN,1,UTA,8,1,33.266666666666666,3,5,.600,2,4,.500,0,0,,0,3,3,0,1,2,2,4,8,5.4,+11,SG,2024,15
Toumani Camara,1,2023-10-25,23-170,POR,0,LAC,-12,0,15.85,2,5,.400,2,2,1.000,1,2,.500,0,2,2,1,0,1,0,2,7,5.1,+13,PF,2024,15
Toumani Camara,2,2023-10-27,23-172,POR,1,ORL,-5,0,22.9,0,4,.000,0,2,.000,2,2,1.000,1,3,4,3,0,0,0,0,2,2.9,+2,PF,2024,15
Toumani Camara,3,2023-10-29,23-174,POR,0,PHI,-28,0,27.666666666666668,5,16,.313,1,5,.200,1,2,.500,3,0,3,2,0,2,0,3,12,6.1,-13,PF,2024,15
Toumani Camara,4,2023-10-30,23-175,POR,0,TOR,8,0,23.35,1,4,.250,0,2,.000,1,2,.500,2,5,7,0,0,1,1,2,3,2.0,+12,PF,2024,15
Clint Capela,1,2023-10-25,29-160,ATL,0,CHA,-6,1,28.633333333333333,6,10,.600,0,0,,3,4,.750,6,7,13,0,1,0,2,1,15,14.9,-19,C,2024,15
Clint Capela,2,2023-10-27,29-162,ATL,1,NYK,-6,1,28.116666666666667,6,12,.500,0,0,,1,2,.500,6,7,13,2,0,1,1,3,13,12.8,-9,C,2024,15
Clint Capela,3,2023-10-29,29-164,ATL,0,MIL,17,1,23.033333333333335,5,10,.500,0,0,,2,2,1.000,2,10,12,1,1,0,0,1,12,12.7,+15,C,2024,15
Clint Capela,4,2023-10-30,29-165,ATL,1,MIN,14,1,22.566666666666666,0,3,.000,0,0,,2,2,1.000,1,4,5,1,0,5,1,3,2,3.8,-4,C,2024,15
Jevon Carter,1,2023-10-25,28-041,CHI,1,OKC,-20,0,15.933333333333334,1,4,.250,1,4,.250,0,0,,0,1,1,2,0,0,0,0,3,2.3,-15,PG,2024,15
Jevon Carter,2,2023-10-27,28-043,CHI,1,TOR,1,0,12.583333333333334,0,2,.000,0,2,.000,0,0,,0,1,1,2,0,0,1,1,0,-1.1,+2,PG,2024,15
Jevon Carter,3,2023-10-28,28-044,CHI,0,DET,-16,0,12.733333333333333,1,6,.167,1,4,.250,0,0,,1,0,1,0,0,0,0,0,3,-0.1,-5,PG,2024,15
Jevon Carter,4,2023-10-30,28-046,CHI,0,IND,7,0,17.616666666666667,5,7,.714,1,1,1.000,0,0,,0,1,1,2,1,1,3,1,11,8.1,+4,PG,2024,15
Wendell Carter Jr.,1,2023-10-25,24-192,ORL,1,HOU,30,1,26.916666666666668,4,10,.400,0,2,.000,0,0,,4,4,8,1,2,0,2,3,8,6.1,+8,C,2024,15
Wendell Carter Jr.,2,2023-10-27,24-194,ORL,0,POR,5,1,26.083333333333332,2,7,.286,1,3,.333,3,4,.750,2,7,9,1,0,0,2,1,8,5.3,+6,C,2024,15
Wendell Carter Jr.,3,2023-10-30,24-197,ORL,0,LAL,-3,1,35.21666666666667,4,8,.500,1,3,.333,1,2,.500,2,6,8,1,0,1,0,4,10,8.6,+2,C,2024,15
Wendell Carter Jr.,4,2023-10-31,24-198,ORL,0,LAC,-16,1,29.7,2,8,.250,0,2,.000,3,6,.500,1,7,8,3,1,0,2,2,7,4.1,-16,C,2024,15
Alex Caruso,1,2023-10-25,29-239,CHI,1,OKC,-20,0,19.616666666666667,2,5,.400,1,4,.250,1,2,.500,0,2,2,3,2,0,1,1,6,6.2,-19,PG,2024,15
Alex Caruso,2,2023-10-27,29-241,CHI,1,TOR,1,0,31.65,5,9,.556,2,5,.400,1,2,.500,6,7,13,2,2,1,0,5,13,16.7,+29,PG,2024,15
Alex Caruso,3,2023-10-28,29-242,CHI,0,DET,-16,0,20.566666666666666,1,2,.500,0,0,,0,0,,2,3,5,4,4,1,0,3,2,9.6,-16,PG,2024,15
Alex Caruso,4,2023-10-30,29-244,CHI,0,IND,7,0,26.083333333333332,3,5,.600,1,2,.500,1,2,.500,1,3,4,3,0,1,3,1,8,6.3,+6,PG,2024,15
Julian Champagnie,1,2023-10-29,22-122,SAS,0,LAC,-40,0,6.916666666666667,1,4,.250,1,2,.500,0,0,,0,2,2,0,0,1,1,0,3,0.9,-13,SF,2024,15
Julian Champagnie,2,2023-10-31,22-124,SAS,0,PHX,1,0,3.05,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1,SF,2024,15
Max Christie,1,2023-10-24,20-256,LAL,0,DEN,-12,0,1.25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,SG,2024,15
Jordan Clarkson,1,2023-10-25,31-140,UTA,1,SAC,-16,1,30.733333333333334,8,16,.500,2,5,.400,6,8,.750,2,2,4,6,0,0,2,4,24,17.8,-4,SG,2024,15
Jordan Clarkson,2,2023-10-27,31-142,UTA,1,LAC,2,1,33.71666666666667,4,13,.308,3,5,.600,2,3,.667,1,3,4,6,1,0,2,0,13,9.9,-2,SG,2024,15
Jordan Clarkson,3,2023-10-28,31-143,UTA,0,PHX,-22,1,21.666666666666668,3,10,.300,0,3,.000,1,1,1.000,1,1,2,2,0,0,5,3,7,-2.6,-26,SG,2024,15
Jordan Clarkson,4,2023-10-30,31-145,UTA,0,DEN,-8,1,33.55,2,10,.200,0,4,.000,0,3,.000,2,1,3,6,1,0,5,1,4,-1.9,-7,SG,2024,15
Nic Claxton,1,2023-10-25,24-191,BKN,1,CLE,-1,1,28.266666666666666,3,10,.300,0,0,,1,1,1.000,4,3,7,4,0,3,0,1,7,9.4,-12,C,2024,15
Amir Coffey,1,2023-10-25,26-130,LAC,1,POR,12,0,3.9333333333333336,0,1,.000,0,0,,2,2,1.000,0,0,0,1,0,0,0,0,2,2.0,-7,SF,2024,15
Amir Coffey,2,2023-10-29,26-134,LAC,1,SAS,40,0,5.5,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,0,0,0.0,+10,SF,2024,15
