,Player,Team_pp,Line_pp,Stat,League_pp,Date_pp,Line_dog,League_dog,Team_dog,Date_dog,difference
118,Nisha,Secret (MAPS 1-2 Kills),16.0,MAPS 1-2 Kills,174,2023-05-17,15.0,ESPORTS,Dota: Nisha,2023-05-16,0.0625
10,Chronicle,Natus Vincere (MAPS 1-2 Kills),33.5,MAPS 1-2 Kills,159,2023-05-17,31.0,ESPORTS,Val: Chronicle,2023-05-16,0.07462686567164178
50,Zyppan,Fnatic (MAPS 1-2 Kills),31.5,MAPS 1-2 Kills,159,2023-05-17,29.0,ESPORTS,Val: Zyppan,2023-05-16,0.07936507936507936
39,cNed,Fnatic (MAPS 1-2 Kills),36.0,MAPS 1-2 Kills,159,2023-05-17,33.0,ESPORTS,Val: cNed,2023-05-16,0.08333333333333333
7,Alfajer,Natus Vincere (MAPS 1-2 Kills),36.0,MAPS 1-2 Kills,159,2023-05-17,32.5,ESPORTS,Val: Alfajer,2023-05-16,0.09722222222222222
112,Kordan,SMG (MAPS 1-2 Kills),15.0,MAPS 1-2 Kills,174,2023-05-17,13.5,ESPORTS,Dota: Kordan,2023-05-16,0.1
75,Jesus Ferreira,Vancouver,4.5,Crosses,82,2023-05-17,4.0,SOCCER,Dallas,2023-05-18,0.1111111111111111
65,Brooks Lennon,Colorado,7.5,Crosses,82,2023-05-17,6.5,SOCCER,Atlanta United,2023-05-17,0.13333333333333333
11,Paula Badosa,J. Ostapenko (Rome),3.5,Aces,5,2023-05-17,3.0,other,Paula Badosa,,0.14285714285714285
42,Antonio Rudiger,Manchester City,3.5,Clearances,82,2023-05-17,3.0,SOCCER,Antonio Rudiger,,0.14285714285714285
16,Ruben Dias,Real Madrid,3.0,Clearances,82,2023-05-17,2.5,SOCCER,Manchester City,2023-05-17,0.16666666666666666
121,Nine,Entity (MAPS 1-2 Kills),13.0,MAPS 1-2 Kills,174,2023-05-17,10.5,ESPORTS,Dota: Nine,2023-05-16,0.19230769230769232
5,Francisco Cerundolo,C. Ruud (Rome),2.5,Aces,5,2023-05-17,2.0,other,Francisco Cerundolo,,0.2
14,Kevin De Bruyne,Real Madrid,2.5,Shots,82,2023-05-17,2.0,other,Manchester City,2023-05-17,0.2
190,Kitzz,Dog (MAPS 1-2 Kills),17.0,MAPS 1-2 Kills,174,2023-05-17,13.5,ESPORTS,Dota: Kitzz,2023-05-16,0.20588235294117646
70,Julian Gressel,Dallas,2.0,Shots,82,2023-05-17,1.5,SOCCER,Vancouver,2023-05-18,0.25
72,Ryan Gauld,Dallas,2.0,Shots,82,2023-05-17,1.5,SOCCER,Vancouver,2023-05-18,0.25
110,MidOne,Bleed (MAPS 1-2 Kills),15.5,MAPS 1-2 Kills,174,2023-05-17,10.0,ESPORTS,Dota: MidOne,2023-05-16,0.3548387096774194
