,Player,Team_pp,Line_pp,Stat,League_pp,Date_pp,Line_dog,League_dog,Team_dog,Date_dog,difference
145,qw1,BBL Esports (MAPS 1-2 Kills),36.5,MAPS 1-2 Kills,159,2023-05-19,39.0,ESPORTS,Val: qw1,2023-05-18,-0.0684931506849315
93,k1Ng,T1 (MAPS 1-2 Kills),29.5,MAPS 1-2 Kills,159,2023-05-19,31.5,ESPORTS,Val: k1Ng,2023-05-18,-0.06779661016949153
370,Arteezy,SKG (MAPS 1-2 Kills),15.5,MAPS 1-2 Kills,174,2023-05-19,16.5,ESPORTS,Dota: Arteezy,2023-05-18,-0.06451612903225806
272,SLATEM$,Balrogs (MAPS 1-2 Kills),15.5,MAPS 1-2 Kills,174,2023-05-18,16.5,ESPORTS,Dota: SLATEM$,2023-05-18,-0.06451612903225806
257,Austin Reaves,DEN,8.0,TRB+AST,7,2023-05-18,8.5,NBA,LAL,2023-05-19,-0.0625
141,Redgar,KOI (MAPS 1-2 Kills),25.0,MAPS 1-2 Kills,159,2023-05-19,26.5,ESPORTS,Val: Redgar,2023-05-18,-0.06
222,DarkMago,Hokori (MAPS 1-2 Kills),17.5,MAPS 1-2 Kills,174,2023-05-18,18.5,ESPORTS,Dota: DarkMago,2023-05-18,-0.05714285714285714
104,TS,T1 (MAPS 1-2 Kills),27.0,MAPS 1-2 Kills,159,2023-05-19,28.5,ESPORTS,Val: TS,2023-05-18,-0.05555555555555555
311,Shad,Liquid (MAPS 1-2 Kills),9.0,MAPS 1-2 Kills,174,2023-05-19,9.5,ESPORTS,Dota: Shad,2023-05-18,-0.05555555555555555
147,AtaKaptan,BBL Esports (MAPS 1-2 Kills),27.0,MAPS 1-2 Kills,159,2023-05-19,28.5,ESPORTS,Val: AtaKaptan,2023-05-18,-0.05555555555555555
151,Brave,FUT Esports (MAPS 1-2 Kills),27.5,MAPS 1-2 Kills,159,2023-05-19,29.0,ESPORTS,Val: Brave,2023-05-18,-0.05454545454545454
377,StoneBank,TSM (MAPS 1-2 Kills),9.5,MAPS 1-2 Kills,174,2023-05-19,10.0,ESPORTS,Dota: StoneBank,2023-05-18,-0.05263157894736842
55,Boostio,NRG (MAPS 1-2 Kills),28.5,MAPS 1-2 Kills,159,2023-05-18,30.0,ESPORTS,Val: Boostio,2023-05-18,-0.05263157894736842
340,Jaylen Brown,MIA,9.5,TRB+AST,7,2023-05-19,10.0,NBA,BOS,2023-05-20,-0.05263157894736842
163,cauanzin,Leviatán (MAPS 1-2 Kills),29.0,MAPS 1-2 Kills,159,2023-05-19,30.5,ESPORTS,Val: cauanzin,2023-05-18,-0.05172413793103448
153,Xeppaa,KRÜ Esports (MAPS 1-2 Kills),29.0,MAPS 1-2 Kills,159,2023-05-19,30.5,ESPORTS,Val: Xeppaa,2023-05-18,-0.05172413793103448
307,Armel,GG (MAPS 1-2 Kills),10.0,MAPS 1-2 Kills,174,2023-05-19,10.5,ESPORTS,Dota: Armel,2023-05-18,-0.05
234,Nikola Jokic,LAL,10.0,AST,7,2023-05-18,10.5,NBA,DEN,2023-05-19,-0.05
154,jakee,KRÜ Esports (MAPS 1-2 Kills),31.5,MAPS 1-2 Kills,159,2023-05-19,33.0,ESPORTS,Val: jakee,2023-05-18,-0.047619047619047616
275,Kentavious Caldwell-Pope,LAL,11.0,PTS,7,2023-05-18,11.5,NBA,DEN,2023-05-19,-0.045454545454545456
56,Dep,Team Secret (MAPS 1-2 Kills),34.0,MAPS 1-2 Kills,159,2023-05-19,35.5,ESPORTS,Val: Dep,2023-05-18,-0.04411764705882353
152,Turko,FUT Esports (MAPS 1-2 Kills),23.5,MAPS 1-2 Kills,159,2023-05-19,24.5,ESPORTS,Val: Turko,2023-05-18,-0.0425531914893617
148,MrFaliN,BBL Esports (MAPS 1-2 Kills),25.0,MAPS 1-2 Kills,159,2023-05-19,26.0,ESPORTS,Val: MrFaliN,2023-05-18,-0.04
170,Tacolilla,LOUD (MAPS 1-2 Kills),28.0,MAPS 1-2 Kills,159,2023-05-19,29.0,ESPORTS,Val: Tacolilla,2023-05-18,-0.03571428571428571
352,TA2000,Entity (MAPS 1-2 Kills),14.5,MAPS 1-2 Kills,174,2023-05-19,15.0,ESPORTS,Dota: TA2000,2023-05-18,-0.034482758620689655
90,Meteor,T1 (MAPS 1-2 Kills),30.0,MAPS 1-2 Kills,159,2023-05-19,31.0,ESPORTS,Val: Meteor,2023-05-18,-0.03333333333333333
301,Palos,BLCK (MAPS 1-2 Kills),15.0,MAPS 1-2 Kills,174,2023-05-19,15.5,ESPORTS,Dota: Palos,2023-05-18,-0.03333333333333333
308,Quinn,Secret (MAPS 1-2 Kills),16.5,MAPS 1-2 Kills,174,2023-05-19,17.0,ESPORTS,Dota: Quinn,2023-05-18,-0.030303030303030304
160,Less,Leviatán (MAPS 1-2 Kills),33.5,MAPS 1-2 Kills,159,2023-05-19,34.5,ESPORTS,Val: Less,2023-05-18,-0.029850746268656716
374,Abed,SKG (MAPS 1-2 Kills),19.5,MAPS 1-2 Kills,174,2023-05-19,20.0,ESPORTS,Dota: Abed,2023-05-18,-0.02564102564102564
376,Bryle,B8 (MAPS 1-2 Kills),20.0,MAPS 1-2 Kills,174,2023-05-19,20.5,ESPORTS,Dota: Bryle,2023-05-18,-0.025
327,Bam Adebayo,BOS,20.5,PTS+AST,7,2023-05-19,21.0,NBA,MIA,2023-05-20,-0.024390243902439025
109,GodDead,T1 (MAPS 1-2 Kills),25.0,MAPS 1-2 Kills,159,2023-05-19,25.5,ESPORTS,Val: GodDead,2023-05-18,-0.02
143,Wolfen,Team Liquid (MAPS 1-2 Kills),26.5,MAPS 1-2 Kills,159,2023-05-19,27.0,ESPORTS,Val: Wolfen,2023-05-18,-0.018867924528301886
338,Jaylen Brown,MIA,27.5,PTS+AST,7,2023-05-19,28.0,NBA,BOS,2023-05-20,-0.01818181818181818
245,Jamal Murray,LAL,29.5,PTS+TRB,7,2023-05-18,30.0,NBA,DEN,2023-05-19,-0.01694915254237288
57,SugarZ3ro,Team Secret (MAPS 1-2 Kills),30.5,MAPS 1-2 Kills,159,2023-05-19,31.0,ESPORTS,Val: SugarZ3ro,2023-05-18,-0.01639344262295082
63,Munchkin,Gen.G (MAPS 1-2 Kills),32.5,MAPS 1-2 Kills,159,2023-05-19,33.0,ESPORTS,Val: Munchkin,2023-05-18,-0.015384615384615385
322,Jayson Tatum,MIA,34.5,PTS+AST,7,2023-05-19,35.0,NBA,BOS,2023-05-20,-0.014492753623188406
250,Jamal Murray,LAL,35.5,PTS+TRB+AST,7,2023-05-18,36.0,NBA,DEN,2023-05-19,-0.014084507042253521
159,aspas,Leviatán (MAPS 1-2 Kills),38.5,MAPS 1-2 Kills,159,2023-05-19,38.0,ESPORTS,Val: aspas,2023-05-18,0.012987012987012988
129,nAts,KOI (MAPS 1-2 Kills),35.0,MAPS 1-2 Kills,159,2023-05-19,34.5,ESPORTS,Val: nAts,2023-05-18,0.014285714285714285
335,Jaylen Brown,MIA,34.5,PTS+TRB+AST,7,2023-05-19,34.0,NBA,BOS,2023-05-20,0.014492753623188406
167,kiNgg,LOUD (MAPS 1-2 Kills),32.0,MAPS 1-2 Kills,159,2023-05-19,31.5,ESPORTS,Val: kiNgg,2023-05-18,0.015625
54,Ethan,NRG (MAPS 1-2 Kills),30.0,MAPS 1-2 Kills,159,2023-05-18,29.5,ESPORTS,Val: Ethan,2023-05-18,0.016666666666666666
60,DubsteP,ZETA DIVISION (MAPS 1-2 Kills),29.5,MAPS 1-2 Kills,159,2023-05-19,29.0,ESPORTS,Val: DubsteP,2023-05-18,0.01694915254237288
72,xeta,Gen.G (MAPS 1-2 Kills),27.5,MAPS 1-2 Kills,159,2023-05-19,27.0,ESPORTS,Val: xeta,2023-05-18,0.01818181818181818
79,Carpe,Gen.G (MAPS 1-2 Kills),25.0,MAPS 1-2 Kills,159,2023-05-19,24.5,ESPORTS,Val: Carpe,2023-05-18,0.02
269,Aaron Gordon,LAL,19.5,PTS+TRB,7,2023-05-18,19.0,NBA,DEN,2023-05-19,0.02564102564102564
375,Timado,B8 (MAPS 1-2 Kills),18.0,MAPS 1-2 Kills,174,2023-05-19,17.5,ESPORTS,Dota: Timado,2023-05-18,0.027777777777777776
309,miCKe,D1 H (MAPS 1-2 Kills),17.5,MAPS 1-2 Kills,174,2023-05-19,17.0,ESPORTS,Dota: miCKe,2023-05-18,0.02857142857142857
52,Victor,Evil Geniuses (MAPS 1-2 Kills),33.5,MAPS 1-2 Kills,159,2023-05-18,32.5,ESPORTS,Val: Victor,2023-05-18,0.029850746268656716
53,Demon1,NRG (MAPS 1-2 Kills),32.5,MAPS 1-2 Kills,159,2023-05-18,31.5,ESPORTS,Val: Demon1,2023-05-18,0.03076923076923077
140,Jamppi,KOI (MAPS 1-2 Kills),32.0,MAPS 1-2 Kills,159,2023-05-19,31.0,ESPORTS,Val: Jamppi,2023-05-18,0.03125
168,Mazino,LOUD (MAPS 1-2 Kills),31.0,MAPS 1-2 Kills,159,2023-05-19,30.0,ESPORTS,Val: Mazino,2023-05-18,0.03225806451612903
142,trexx,Team Liquid (MAPS 1-2 Kills),29.5,MAPS 1-2 Kills,159,2023-05-19,28.5,ESPORTS,Val: trexx,2023-05-18,0.03389830508474576
362,No!ob,Entity (MAPS 1-2 Kills),13.5,MAPS 1-2 Kills,174,2023-05-19,13.0,ESPORTS,Dota: No!ob,2023-05-18,0.037037037037037035
290,CDR,AG (MAPS 1-2 Kills),13.5,MAPS 1-2 Kills,174,2023-05-19,13.0,ESPORTS,Dota: CDR,2023-05-18,0.037037037037037035
276,Kentavious Caldwell-Pope,LAL,13.0,PTS+AST,7,2023-05-18,12.5,NBA,DEN,2023-05-19,0.038461538461538464
348,Stormstormer,Quest (MAPS 1-2 Kills),13.0,MAPS 1-2 Kills,174,2023-05-19,12.5,ESPORTS,Dota: Stormstormer,2023-05-18,0.038461538461538464
249,Jamal Murray,LAL,11.0,TRB+AST,7,2023-05-18,10.5,NBA,DEN,2023-05-19,0.045454545454545456
306,Crystallis,GG (MAPS 1-2 Kills),9.5,MAPS 1-2 Kills,174,2023-05-19,9.0,ESPORTS,Dota: Crystallis,2023-05-18,0.05263157894736842
62,Sayaplayer,Gen.G (MAPS 1-2 Kills),36.5,MAPS 1-2 Kills,159,2023-05-19,34.5,ESPORTS,Val: Sayaplayer,2023-05-18,0.0547945205479452
58,Laz,Team Secret (MAPS 1-2 Kills),29.5,MAPS 1-2 Kills,159,2023-05-19,27.5,ESPORTS,Val: Laz,2023-05-18,0.06779661016949153
310,Nisha,D1 H (MAPS 1-2 Kills),17.5,MAPS 1-2 Kills,174,2023-05-19,16.0,ESPORTS,Dota: Nisha,2023-05-18,0.08571428571428572
291,MidOne,AG (MAPS 1-2 Kills),17.0,MAPS 1-2 Kills,174,2023-05-19,15.5,ESPORTS,Dota: MidOne,2023-05-18,0.08823529411764706
102,Courtney Vandersloot,WAS,10.5,PTS,3,2023-05-19,9.5,WNBA,NY,2023-05-19,0.09523809523809523
218,Elizabeth Williams,MIN,9.5,PTS,3,2023-05-19,8.5,WNBA,CHI,2023-05-20,0.10526315789473684
221,Elizabeth Williams,MIN,17.5,PTS+TRB+AST,3,2023-05-19,15.5,WNBA,CHI,2023-05-20,0.11428571428571428
156,keznit,Cloud9 (MAPS 1-2 Kills),30.0,MAPS 1-2 Kills,159,2023-05-19,26.5,ESPORTS,Val: keznit,2023-05-18,0.11666666666666667
144,starxo,Team Liquid (MAPS 1-2 Kills),25.0,MAPS 1-2 Kills,159,2023-05-19,22.0,ESPORTS,Val: starxo,2023-05-18,0.12
158,Klaus,Cloud9 (MAPS 1-2 Kills),23.0,MAPS 1-2 Kills,159,2023-05-19,20.0,ESPORTS,Val: Klaus,2023-05-18,0.13043478260869565
157,Melser,Cloud9 (MAPS 1-2 Kills),24.0,MAPS 1-2 Kills,159,2023-05-19,20.0,ESPORTS,Val: Melser,2023-05-18,0.16666666666666666
305,Karl,XctN (MAPS 1-2 Kills),16.0,MAPS 1-2 Kills,174,2023-05-19,13.0,ESPORTS,Dota: Karl,2023-05-18,0.1875
304,Raven,XctN (MAPS 1-2 Kills),17.5,MAPS 1-2 Kills,174,2023-05-19,14.0,ESPORTS,Dota: Raven,2023-05-18,0.2
