,Player,Team_pp,Line_pp,Stat,League_pp,Date,Line_dog,League_dog,Team_dog,difference
55,RUSH,Mythic,34.5,MAPS 1-2 Kills,124,2023-05-09,33.5,ESPORTS,CS:GO RUSH,0.028985507246376812
60,RUSH,Mythic,15.5,MAPS 1-2 Headshots,124,2023-05-09,15.0,ESPORTS,CS:GO RUSH,0.03225806451612903
50,dare,Nouns,13.0,MAPS 1-2 Headshots,124,2023-05-09,12.5,ESPORTS,CS:GO dare,0.038461538461538464
43,Bwills,timbermen,38.5,MAPS 1-2 Kills,124,2023-05-09,37.0,ESPORTS,CS:GO Bwills,0.03896103896103896
64,Grizz,Party Astronauts,33.5,MAPS 1-2 Kills,124,2023-05-09,31.5,ESPORTS,CS:GO Grizz,0.05970149253731343
72,Grizz,Party Astronauts,16.5,MAPS 1-2 Headshots,124,2023-05-09,15.5,ESPORTS,CS:GO Grizz,0.06060606060606061
46,snav,Nouns,30.0,MAPS 1-2 Kills,124,2023-05-09,28.0,ESPORTS,CS:GO snav,0.06666666666666667
61,Cooper,EG Black,12.0,MAPS 1-2 Headshots,124,2023-05-09,11.0,ESPORTS,CS:GO Cooper,0.08333333333333333
45,shane,Nouns,34.0,MAPS 1-2 Kills,124,2023-05-09,31.0,ESPORTS,CS:GO shane,0.08823529411764706
52,shane,Nouns,20.5,MAPS 1-2 Headshots,124,2023-05-09,18.5,ESPORTS,CS:GO shane,0.0975609756097561
53,snav,Nouns,15.0,MAPS 1-2 Headshots,124,2023-05-09,13.5,ESPORTS,CS:GO snav,0.1
73,scar,Party Astronauts,19.5,MAPS 1-2 Headshots,124,2023-05-09,17.5,ESPORTS,CS:GO scar,0.10256410256410256
56,Cooper,EG Black,36.0,MAPS 1-2 Kills,124,2023-05-09,32.0,ESPORTS,CS:GO Cooper,0.1111111111111111
65,scar,Party Astronauts,31.5,MAPS 1-2 Kills,124,2023-05-09,27.5,ESPORTS,CS:GO scar,0.12698412698412698
63,fl0m,EG Black,11.0,MAPS 1-2 Headshots,124,2023-05-09,9.5,ESPORTS,CS:GO fl0m,0.13636363636363635
8,Martin Ojeda,Charlotte,3.5,Shots,82,2023-05-09,3.0,SOCCER,Orlando,0.14285714285714285
58,fl0m,EG Black,28.0,MAPS 1-2 Kills,124,2023-05-09,23.5,ESPORTS,CS:GO fl0m,0.16071428571428573
