,Player,Team_pp,Line_pp,Stat,League_pp,Date,Line_dog,League_dog,Team_dog,difference
4,Troy Williams,Michigan,193.5,Pass Yards,191,2023-05-13,192.5,USFL,Maulers ,0.00516795865633075
266,Asuna,FURIA Esports (MAPS 1-2 Kills),30.0,MAPS 1-2 Kills,159,2023-05-13,29.5,ESPORTS,Val: Asuna,0.016666666666666666
15,Case Cookus,New Jersey,232.5,Pass Yards,191,2023-05-14,227.5,USFL,Generals ,0.021505376344086023
219,James Harden,BOS,9.0,AST,7,2023-05-14,8.5,NBA,PHI,0.05555555555555555
13,De'Andre Johnson,Philadelphia,154.5,Pass Yards,191,2023-05-14,144.5,USFL,Stars,0.06472491909385113
273,Mary,Guild X (MAPS 1-2 Kills),40.5,MAPS 1-2 Kills,159,2023-05-13,36.5,ESPORTS,Val: Mary,0.09876543209876543
145,Ko Itakura,Borussia Dortmund,5.0,Clearances,82,2023-05-13,4.5,SOCCER,Borussia Mönchengladbach,0.1
88,Joachim Andersen,Bournemouth,5.0,Clearances,82,2023-05-13,4.5,SOCCER,Crystal Palace,0.1
272,Petra,Guild X (MAPS 1-2 Kills),33.5,MAPS 1-2 Kills,159,2023-05-13,30.0,ESPORTS,Val: Petra,0.1044776119402985
173,Martin Erlic,Inter,4.5,Clearances,82,2023-05-13,4.0,SOCCER,Sassuolo,0.1111111111111111
117,Joe Worrall,Chelsea,4.5,Clearances,82,2023-05-13,4.0,SOCCER,Nottingham Forest,0.1111111111111111
32,Sadio Mane,Schalke 04,3.5,Shots,82,2023-05-13,3.0,SOCCER,Bayern München,0.14285714285714285
274,aNNja,G2 Gozen (MAPS 1-2 Kills),32.5,MAPS 1-2 Kills,159,2023-05-13,27.5,ESPORTS,Val: aNNja,0.15384615384615385
30,Kingsley Coman,Schalke 04,3.0,Shots,82,2023-05-13,2.5,SOCCER,Bayern München,0.16666666666666666
112,Thiago Silva,Nottingham Forest,3.0,Clearances,82,2023-05-13,2.5,SOCCER,Chelsea,0.16666666666666666
186,Marco Asensio,Getafe FC,3.0,Shots,82,2023-05-13,2.5,SOCCER,Real Madrid,0.16666666666666666
143,Donyell Malen,Borussia M'gladbach,3.0,Shots,82,2023-05-13,2.5,SOCCER,Borussia Dortmund,0.16666666666666666
44,Mergim Berisha,VfL Bochum,2.5,Shots,82,2023-05-13,2.0,SOCCER,FC Augsburg,0.2
163,Fikayo Tomori,Spezia,2.5,Clearances,82,2023-05-13,2.0,SOCCER,Milan,0.2
116,Moussa Niakhate,Chelsea,4.5,Clearances,82,2023-05-13,3.5,SOCCER,Nottingham Forest,0.2222222222222222
57,Maximilian Eggestein,1. FC Union Berlin,2.0,Tackles,82,2023-05-13,1.5,SOCCER,SC Frieburg,0.25
171,Nicolo Barella,Sassuolo,2.0,Tackles,82,2023-05-13,1.5,SOCCER,Inter,0.25
159,Dani Parejo,Athletic Bilbao,2.0,Tackles,82,2023-05-13,1.5,SOCCER,Villarreal,0.25
155,Nico Williams,Villarreal,7.0,Crosses,82,2023-05-13,5.0,SOCCER,Athletic Club,0.2857142857142857
185,Borja Mayoral,Real Madrid,1.5,Shots,82,2023-05-13,1.0,SOCCER,Getafe,0.3333333333333333
141,Julian Brandt,Borussia M'gladbach,1.5,Shots,82,2023-05-13,1.0,SOCCER,Borussia Dortmund,0.3333333333333333
