,Player,Stat,Line,o_Prob,u_Prob,num_books,means,League,Team,Date
139,Joel Embiid,STL,0.5,0.5491054156411722,0.4508945843588278,4.0,0.7965217043639153,NBA,PHI,2023-05-05
3,Justin Steele,Pitcher Strikeouts,5.0,0.5495100470107422,0.45048995298925776,1.0,5.40407348454924,MLB,CHC,2023-05-05
163,Malcolm Brogdon,PTS+AST,17.5,0.5505075667760513,0.4494924332239487,5.0,18.20590426577825,NBA,BOS,2023-05-05
37,Nikola Jokic,PTS+TRB+AST,47.5,0.5509085527894613,0.44909144721053873,5.0,48.55546201881443,NBA,DEN,2023-05-06
15,Kevin Durant,PTS,29.0,0.5515463056686487,0.44845369433135124,1.0,29.821296345571888,NBA,PHX,2023-05-06
157,Marcus Smart,PTS+AST,16.5,0.5519472159457309,0.44805278405426907,5.0,17.205770609505752,NBA,BOS,2023-05-05
121,Tobias Harris,TRB,6.0,0.5520706874077775,0.44792931259222246,1.0,6.444882500459338,NBA,PHI,2023-05-05
16,Kevin Durant,PTS+AST,34.5,0.5536088496850193,0.44639115031498067,4.0,35.46625791809346,NBA,PHX,2023-05-06
123,Tobias Harris,PTS,14.5,0.5545228223538272,0.4454771776461728,10.0,15.19835272422166,NBA,PHI,2023-05-05
40,Aaron Gordon,PTS,14.5,0.5548665646717224,0.4451334353282776,9.0,15.20175766177013,NBA,DEN,2023-05-06
135,James Harden,PTS+TRB,26.5,0.5557356556875068,0.4442643443124932,5.0,27.39703409735451,NBA,PHI,2023-05-05
36,Nikola Jokic,AST,7.5,0.5573443144220211,0.4426556855779788,7.0,8.074176236930262,NBA,DEN,2023-05-06
17,Kevin Durant,PTS+TRB,36.5,0.5574255485962458,0.4425744514037541,4.0,37.54817100349619,NBA,PHX,2023-05-06
144,Jaylen Brown,TRB,5.5,0.5575793764036966,0.4424206235963034,10.0,6.02032441778455,NBA,BOS,2023-05-05
178,Stephen Curry,TRB,5.5,0.5577852379143771,0.4422147620856229,10.0,6.0216105865276495,NBA,GSW,2023-05-07
149,Al Horford,STL,0.5,0.5578631338131288,0.4421368661868712,3.0,0.8161357928302314,NBA,BOS,2023-05-05
38,Nikola Jokic,PTS+AST,33.5,0.5579257024275068,0.4420742975724932,5.0,34.519114145112965,NBA,DEN,2023-05-06
68,Jimmy Butler,TRB,6.5,0.5595453550162246,0.44045464498377546,9.0,7.06240465078992,NBA,MIA,2023-05-06
19,Torrey Craig,PTS,5.5,0.5598035200714249,0.4401964799285751,5.0,6.03423521622934,NBA,PHX,2023-05-06
33,Nikola Jokic,TRB,13.5,0.5600107670706755,0.43998923292932446,7.0,14.232824471434688,NBA,DEN,2023-05-06
50,Jamal Murray,PTS+AST,29.5,0.5600891107855996,0.4399108892144004,4.0,30.49771626283475,NBA,DEN,2023-05-06
95,Mitchell Robinson,PTS+TRB,15.5,0.5609484509754539,0.4390515490245462,4.0,16.28179813298678,NBA,NYK,2023-05-06
108,Josh Hart,PTS+AST,13.5,0.5616370673848667,0.4383629326151333,4.0,14.248464201280823,NBA,NYK,2023-05-06
138,Joel Embiid,PTS+TRB,34.5,0.5618877199029799,0.43811228009702,5.0,35.59167867499193,NBA,PHI,2023-05-05
54,Michael Porter,PTS+TRB,18.5,0.5623358922937081,0.4376641077062919,2.0,19.35281124515163,NBA,DEN,2023-05-06
116,Max Strus,PTS+TRB+AST,13.5,0.5632067441554571,0.4367932558445428,2.0,14.263579746882302,NBA,MIA,2023-05-06
148,Al Horford,PTS+TRB,13.5,0.5648029533941543,0.43519704660584574,3.0,14.278971578759634,NBA,BOS,2023-05-05
164,Derrick White,PTS,11.5,0.5653041945951105,0.43469580540488945,9.0,12.237725196867242,NBA,BOS,2023-05-05
110,Josh Hart,PTS+TRB+AST,21.5,0.5656126285137898,0.4343873714862102,5.0,22.44475439890157,NBA,NYK,2023-05-06
146,Al Horford,PTS+TRB+AST,16.5,0.5678266911445207,0.43217330885547933,5.0,17.37392454589139,NBA,BOS,2023-05-05
5,Brad Keller,Pitcher Strikeouts,4.0,0.5687771401651189,0.431222859834881,1.0,4.46037693387875,MLB,KC,2023-05-06
87,Jalen Brunson,PTS+AST,29.5,0.5695667681020509,0.43043323189794913,4.0,30.63135795062728,NBA,NYK,2023-05-06
120,Jayson Tatum,BLK,0.5,0.5699434234150219,0.4300565765849781,4.0,0.8438385054961194,NBA,BOS,2023-05-05
83,Bam Adebayo,PTS+TRB+AST,28.5,0.5701958357371121,0.4298041642628879,5.0,29.623893614416044,NBA,MIA,2023-05-06
166,Derrick White,PTS+AST,14.5,0.5720159110702733,0.4279840889297267,4.0,15.372854951477466,NBA,BOS,2023-05-05
21,Deandre Ayton,BLK,0.5,0.5728318533619104,0.42716814663808955,5.0,0.8505775572292051,NBA,PHX,2023-05-06
93,Mitchell Robinson,TRB,9.5,0.5729500728529009,0.4270499271470991,10.0,10.250151296844034,NBA,NYK,2023-05-06
86,Jalen Brunson,PTS+TRB+AST,33.5,0.5732249660128954,0.42677503398710454,4.0,34.74880679272545,NBA,NYK,2023-05-06
27,Devin Booker,AST,7.5,0.5735234387707336,0.42647656122926636,9.0,8.19214818248831,NBA,PHX,2023-05-06
13,Kevin Durant,PTS+TRB+AST,42.5,0.5738908742666375,0.42610912573336246,3.0,43.89476458642988,NBA,PHX,2023-05-06
134,James Harden,PTS+AST,28.5,0.577122485174077,0.422877514825923,1.0,29.720576482057158,NBA,PHI,2023-05-05
136,Joel Embiid,PTS+TRB+AST,37.5,0.5782925184254512,0.42170748157454885,1.0,38.89162271664184,NBA,PHI,2023-05-05
119,Jayson Tatum,TO,2.5,0.5784920825315805,0.4215079174684195,3.0,3.007517684926293,NBA,BOS,2023-05-05
167,Derrick White,PTS+TRB,14.5,0.5785597911064597,0.4214402088935402,4.0,15.438821465871252,NBA,BOS,2023-05-05
118,Jayson Tatum,PTS,28.5,0.5790395041268676,0.42096049587313245,4.0,29.74742908279829,NBA,BOS,2023-05-05
46,Jamal Murray,PTS,22.5,0.579481356208962,0.420518643791038,4.0,23.63471250622664,NBA,DEN,2023-05-06
