,Player,Team_pp,Line_pp,Stat,League_pp,Date_pp,Line_dog,League_dog,Team_dog,Date_dog,difference
123,Cloud,Karmine Corp (MAPS 1-2 Kills),33.5,MAPS 1-2 Kills,159,2023-05-18,35.0,ESPORTS,Val: Cloud,2023-05-17,-0.04477611940298507
309,Kentavious Caldwell-Pope,LAL,12.5,PTS+TRB,7,2023-05-18,13.0,NBA,DEN,2023-05-19,-0.04
121,Shin,Giants (MAPS 1-2 Kills),25.5,MAPS 1-2 Kills,159,2023-05-18,26.5,ESPORTS,Val: Shin,2023-05-17,-0.0392156862745098
111,MOLSI,Team Heretics (MAPS 1-2 Kills),28.0,MAPS 1-2 Kills,159,2023-05-18,29.0,ESPORTS,Val: MOLSI,2023-05-17,-0.03571428571428571
251,mini,MK (MAPS 1-2 Kills),14.0,MAPS 1-2 Kills,174,2023-05-18,14.5,ESPORTS,Dota: mini,2023-05-17,-0.03571428571428571
263,LeBron James,DEN,15.5,TRB+AST,7,2023-05-18,16.0,NBA,LAL,2023-05-19,-0.03225806451612903
249,Malr1ne,UALEIK (MAPS 1-2 Kills),16.5,MAPS 1-2 Kills,174,2023-05-18,17.0,ESPORTS,Dota: Malr1ne,2023-05-17,-0.030303030303030304
330,RUSH,timbermen,33.5,MAPS 1-2 Kills,124,2023-05-17,34.5,ESPORTS,CS:GO RUSH,2023-05-17,-0.029850746268656716
274,Anthony Davis,DEN,24.5,PTS,7,2023-05-18,25.0,NBA,LAL,2023-05-19,-0.02040816326530612
286,Jamal Murray,LAL,29.5,PTS+TRB,7,2023-05-18,30.0,NBA,DEN,2023-05-19,-0.01694915254237288
173,Bam Adebayo,BOS,29.5,PTS+TRB+AST,7,2023-05-17,30.0,NBA,MIA,2023-05-18,-0.01694915254237288
331,dare,EG Black,37.5,MAPS 1-2 Kills,124,2023-05-17,38.0,ESPORTS,CS:GO dare,2023-05-17,-0.013333333333333334
326,dea,Nouns,39.5,MAPS 1-2 Kills,124,2023-05-17,40.0,ESPORTS,CS:GO dea,2023-05-17,-0.012658227848101266
112,Cameron Young,Oak Hill  - East RD 1,70.5,Strokes,1,2023-05-18,71.0,other,Cameron Young,,-0.0070921985815602835
137,Patrick Reed,Oak Hill  - East RD 1,71.0,Strokes,1,2023-05-18,71.5,other,Patrick Reed,,-0.007042253521126761
130,Tommy Fleetwood,Oak Hill  - East RD 1,71.0,Strokes,1,2023-05-18,71.5,other,Tommy Fleetwood,,-0.007042253521126761
138,Bryson DeChambeau,Oak Hill  - East RD 1,72.0,Strokes,1,2023-05-18,72.5,other,Bryson DeChambeau,,-0.006944444444444444
133,Rickie Fowler,Oak Hill  - East RD 1,71.5,Strokes,1,2023-05-18,71.0,other,Rickie Fowler,,0.006993006993006993
125,Sungjae Im,Oak Hill  - East RD 1,71.0,Strokes,1,2023-05-18,70.5,other,Sungjae Im,,0.007042253521126761
122,Max Homa,Oak Hill  - East RD 1,71.0,Strokes,1,2023-05-18,70.5,other,Max Homa,,0.007042253521126761
88,Xander Schauffele,Oak Hill  - East RD 1,70.0,Strokes,1,2023-05-18,69.5,other,Xander Schauffele,,0.007142857142857143
329,junior,timbermen,42.0,MAPS 1-2 Kills,124,2023-05-17,41.5,ESPORTS,CS:GO junior,2023-05-17,0.011904761904761904
281,Jamal Murray,LAL,36.5,PTS+TRB+AST,7,2023-05-18,36.0,NBA,DEN,2023-05-19,0.0136986301369863
328,Peeping,Nouns,32.0,MAPS 1-2 Kills,124,2023-05-17,31.5,ESPORTS,CS:GO Peeping,2023-05-17,0.015625
256,PiPi,INF (MAPS 1-2 Kills),17.0,MAPS 1-2 Kills,174,2023-05-18,16.5,ESPORTS,Dota: PiPi,2023-05-17,0.029411764705882353
327,Jason,Nouns,33.0,MAPS 1-2 Kills,124,2023-05-17,32.0,ESPORTS,CS:GO Jason,2023-05-17,0.030303030303030304
114,keloqz,Team Vitality (MAPS 1-2 Kills),28.5,MAPS 1-2 Kills,159,2023-05-18,27.5,ESPORTS,Val: keloqz,2023-05-17,0.03508771929824561
222,Caleb Martin,BOS,13.5,PTS+TRB,7,2023-05-17,13.0,NBA,MIA,2023-05-18,0.037037037037037035
250,Palantimos,Nemiga (MAPS 1-2 Kills),12.0,MAPS 1-2 Kills,174,2023-05-18,11.5,ESPORTS,Dota: Palantimos,2023-05-17,0.041666666666666664
126,nukkye,Karmine Corp (MAPS 1-2 Kills),32.5,MAPS 1-2 Kills,159,2023-05-18,31.0,ESPORTS,Val: nukkye,2023-05-17,0.046153846153846156
265,Nikola Jokic,LAL,10.5,AST,7,2023-05-18,10.0,NBA,DEN,2023-05-19,0.047619047619047616
118,ScreaM,Giants (MAPS 1-2 Kills),31.0,MAPS 1-2 Kills,159,2023-05-18,29.5,ESPORTS,Val: ScreaM,2023-05-17,0.04838709677419355
332,shane,EG Black,34.0,MAPS 1-2 Kills,124,2023-05-17,32.0,ESPORTS,CS:GO shane,2023-05-17,0.058823529411764705
117,weber,Team Vitality (MAPS 1-2 Kills),24.5,MAPS 1-2 Kills,159,2023-05-18,22.5,ESPORTS,Val: weber,2023-05-17,0.08163265306122448
333,Fr3nk1e,EG Black,34.0,MAPS 1-2 Kills,124,2023-05-17,30.5,ESPORTS,CS:GO Fr3nk1e,2023-05-17,0.10294117647058823
60,Jesus Ferreira,Vancouver,4.5,Crosses,82,2023-05-17,4.0,SOCCER,Dallas,2023-05-18,0.1111111111111111
48,Brooks Lennon,Colorado,8.5,Crosses,82,2023-05-17,7.5,SOCCER,Atlanta United,2023-05-17,0.11764705882352941
191,Gabe Vincent,BOS,4.0,AST,7,2023-05-17,3.5,NBA,MIA,2023-05-18,0.125
241,flyfly,Bright (MAPS 1-2 Kills),17.5,MAPS 1-2 Kills,174,2023-05-18,15.0,ESPORTS,Dota: flyfly,2023-05-17,0.14285714285714285
217,Kitzz,Dog (MAPS 1-2 Kills),17.0,MAPS 1-2 Kills,174,2023-05-17,14.5,ESPORTS,Dota: Kitzz,2023-05-17,0.14705882352941177
71,Julian Gressel,Dallas,2.0,Shots,82,2023-05-17,1.5,SOCCER,Vancouver,2023-05-18,0.25
90,Nicolas Lodeiro,Austin,2.0,Shots,82,2023-05-17,1.5,SOCCER,Seattle,2023-05-18,0.25
68,Ryan Gauld,Dallas,2.0,Shots,82,2023-05-17,1.5,SOCCER,Vancouver,2023-05-18,0.25
65,Jack Maher,Miami,3.5,Clearances,82,2023-05-17,2.5,SOCCER,Nashville SC,2023-05-18,0.2857142857142857
20,Alvaro Barreal,Montreal,1.5,Shots,82,2023-05-17,1.0,SOCCER,Alvaro Barreal,,0.3333333333333333
124,Cloud,Karmine Corp (MAPS 1-2 Kills),33.5,MAPS 1-2 Kills,159,2023-05-18,8.0,ESPORTS,Dota: Cloud,2023-05-17,0.7611940298507462
