,line,stat,player,league,team,date
148,0.5,PTS,Nick Suzuki,NHL,MTL,2023-10-11
149,6.05,Hitter Fantasy Score,Nick Suzuki,NHL,MTL,2023-10-11
150,0.5,PTS,Michael Matheson,NHL,MTL,2023-10-11
151,6.55,Hitter Fantasy Score,Michael Matheson,NHL,MTL,2023-10-11
152,2.0,Shots,Josh Anderson,NHL,MTL,2023-10-11
153,0.5,PTS,Kirby Dach,NHL,MTL,2023-10-11
154,6.05,Hitter Fantasy Score,Kirby Dach,NHL,MTL,2023-10-11
155,2.0,Shots,Sean Monahan,NHL,MTL,2023-10-11
156,2.5,blocked_shots,David Savard,NHL,MTL,2023-10-11
157,2.5,Goal Against,Ilya Samsonov,NHL,TOR,2023-10-11
158,25.5,Goalie Saves,Ilya Samsonov,NHL,TOR,2023-10-11
159,13.05,Hitter Fantasy Score,Ilya Samsonov,NHL,TOR,2023-10-11
160,1.5,PTS,Auston Matthews,NHL,TOR,2023-10-11
161,4.5,Shots,Auston Matthews,NHL,TOR,2023-10-11
162,11.55,Hitter Fantasy Score,Auston Matthews,NHL,TOR,2023-10-11
163,2.5,Shots,Mitchell Marner,NHL,TOR,2023-10-11
164,8.55,Hitter Fantasy Score,Mitchell Marner,NHL,TOR,2023-10-11
165,0.5,AST,William Nylander,NHL,TOR,2023-10-11
166,4.0,Shots,William Nylander,NHL,TOR,2023-10-11
167,8.05,Hitter Fantasy Score,William Nylander,NHL,TOR,2023-10-11
168,8.55,Hitter Fantasy Score,John Tavares,NHL,TOR,2023-10-11
169,2.5,Shots,Tyler Bertuzzi,NHL,TOR,2023-10-11
170,0.5,PTS,Max Domi,NHL,TOR,2023-10-11
171,0.5,PTS,Morgan Rielly,NHL,TOR,2023-10-11
172,0.5,AST,Morgan Rielly,NHL,TOR,2023-10-11
173,2.0,Shots,Morgan Rielly,NHL,TOR,2023-10-11
174,1.5,blocked_shots,Morgan Rielly,NHL,TOR,2023-10-11
175,2.0,blocked_shots,T.J. Brodie,NHL,TOR,2023-10-11
176,3.5,Goal Against,Arvid Soderblom,NHL,CHI,2023-10-11
177,30.5,Goalie Saves,Arvid Soderblom,NHL,CHI,2023-10-11
178,9.55,Hitter Fantasy Score,Arvid Soderblom,NHL,CHI,2023-10-11
179,0.5,PTS,Connor Bedard,NHL,CHI,2023-10-11
180,3.5,Shots,Connor Bedard,NHL,CHI,2023-10-11
181,6.05,Hitter Fantasy Score,Connor Bedard,NHL,CHI,2023-10-11
182,2.0,Shots,Seth Jones,NHL,CHI,2023-10-11
183,0.5,PTS,Taylor Hall,NHL,CHI,2023-10-11
184,2.0,Shots,Tyler Johnson,NHL,CHI,2023-10-11
185,1.5,Shots,Taylor Raddysh,NHL,CHI,2023-10-11
186,25.5,Goalie Saves,Linus Ullmark,NHL,BOS,2023-10-11
187,14.05,Hitter Fantasy Score,Linus Ullmark,NHL,BOS,2023-10-11
188,0.5,Goals,David Pastrnak,NHL,BOS,2023-10-11
189,0.5,AST,David Pastrnak,NHL,BOS,2023-10-11
190,10.05,Hitter Fantasy Score,David Pastrnak,NHL,BOS,2023-10-11
191,0.5,AST,Brad Marchand,NHL,BOS,2023-10-11
192,7.55,Hitter Fantasy Score,Brad Marchand,NHL,BOS,2023-10-11
193,0.5,PTS,Jake DeBrusk,NHL,BOS,2023-10-11
194,0.5,AST,Charlie McAvoy,NHL,BOS,2023-10-11
195,2.0,Shots,Charlie McAvoy,NHL,BOS,2023-10-11
196,2.0,blocked_shots,Charlie McAvoy,NHL,BOS,2023-10-11
197,0.5,PTS,James van Riemsdyk,other,BOS,2023-10-11
198,1.5,blocked_shots,Kevin Shattenkirk,NHL,BOS,2023-10-11
199,29.5,Goalie Saves,Connor Hellebuyck,NHL,WPG,2023-10-11
200,0.5,AST,Kyle Connor,NHL,WPG,2023-10-11
201,0.5,PTS,Nikolaj Ehlers,NHL,WPG,2023-10-11
202,0.5,PTS,Mark Scheifele,NHL,WPG,2023-10-11
203,2.0,Shots,Mark Scheifele,NHL,WPG,2023-10-11
204,2.0,Shots,Alex Iafallo,NHL,WPG,2023-10-11
205,2.0,Shots,Nino Niederreiter,NHL,WPG,2023-10-11
206,0.5,PTS,Gabriel Vilardi,NHL,WPG,2023-10-11
207,2.5,Goal Against,Jacob Markstrom,NHL,CGY,2023-10-11
208,26.5,Goalie Saves,Jacob Markstrom,NHL,CGY,2023-10-11
209,12.05,Hitter Fantasy Score,Jacob Markstrom,NHL,CGY,2023-10-11
210,0.5,PTS,Nazem Kadri,NHL,CGY,2023-10-11
211,3.0,Shots,Nazem Kadri,NHL,CGY,2023-10-11
212,0.5,PTS,Mikael Backlund,NHL,CGY,2023-10-11
213,0.5,PTS,Jonathan Huberdeau,NHL,CGY,2023-10-11
214,2.0,Shots,Blake Coleman,NHL,CGY,2023-10-11
215,2.5,Shots,Elias Lindholm,NHL,CGY,2023-10-11
216,26.5,Goalie Saves,Jack Campbell,NHL,EDM,2023-10-11
217,0.5,Goals,Connor McDavid,NHL,EDM,2023-10-11
218,4.0,Shots,Connor McDavid,NHL,EDM,2023-10-11
219,12.05,Hitter Fantasy Score,Connor McDavid,NHL,EDM,2023-10-11
220,0.5,Goals,Leon Draisaitl,NHL,EDM,2023-10-11
221,3.0,Shots,Leon Draisaitl,NHL,EDM,2023-10-11
222,0.5,power_play_points,Leon Draisaitl,NHL,EDM,2023-10-11
223,9.05,Hitter Fantasy Score,Leon Draisaitl,NHL,EDM,2023-10-11
224,3.0,Shots,Zach Hyman,NHL,EDM,2023-10-11
225,7.55,Hitter Fantasy Score,Zach Hyman,NHL,EDM,2023-10-11
226,2.0,Shots,Ryan Nugent-Hopkins,NHL,EDM,2023-10-11
227,0.5,AST,Evan Bouchard,NHL,EDM,2023-10-11
228,2.5,Shots,Evan Bouchard,NHL,EDM,2023-10-11
229,2.0,Shots,Darnell Nurse,NHL,EDM,2023-10-11
230,2.0,blocked_shots,Darnell Nurse,NHL,EDM,2023-10-11
231,0.5,PTS,Connor Brown,NHL,EDM,2023-10-11
232,28.5,Goalie Saves,Thatcher Demko,NHL,VAN,2023-10-11
233,9.05,Hitter Fantasy Score,Thatcher Demko,NHL,VAN,2023-10-11
234,0.5,AST,Elias Pettersson,NHL,VAN,2023-10-11
235,3.0,Shots,Elias Pettersson,NHL,VAN,2023-10-11
236,9.05,Hitter Fantasy Score,Elias Pettersson,NHL,VAN,2023-10-11
237,0.5,AST,J.T. Miller,NHL,VAN,2023-10-11
238,2.5,Shots,J.T. Miller,NHL,VAN,2023-10-11
239,2.5,Shots,Brock Boeser,NHL,VAN,2023-10-11
240,0.5,PTS,Andrei Kuzmenko,NHL,VAN,2023-10-11
241,2.0,Shots,Quinn Hughes,NHL,VAN,2023-10-11
242,6.55,Hitter Fantasy Score,Quinn Hughes,NHL,VAN,2023-10-11
243,2.5,Goal Against,Alexandar Georgiev,NHL,COL,2023-10-11
244,27.5,Goalie Saves,Alexandar Georgiev,NHL,COL,2023-10-11
245,12.55,Hitter Fantasy Score,Alexandar Georgiev,NHL,COL,2023-10-11
246,1.5,PTS,Nathan MacKinnon,NHL,COL,2023-10-11
247,11.05,Hitter Fantasy Score,Nathan MacKinnon,NHL,COL,2023-10-11
248,0.5,Goals,Mikko Rantanen,NHL,COL,2023-10-11
249,0.5,AST,Mikko Rantanen,NHL,COL,2023-10-11
250,9.05,Hitter Fantasy Score,Mikko Rantanen,NHL,COL,2023-10-11
251,3.0,Shots,Cale Makar,NHL,COL,2023-10-11
252,2.5,Shots,Valeri Nichushkin,NHL,COL,2023-10-11
253,2.0,Shots,Artturi Lehkonen,NHL,COL,2023-10-11
254,0.5,PTS,Devon Toews,NHL,COL,2023-10-11
255,3.0,Shots,Kevin Fiala,NHL,LA,2023-10-11
256,3.5,Shots,Adrian Kempe,NHL,LA,2023-10-11
257,3.0,Shots,Pierre-Luc Dubois,NHL,LA,2023-10-11
258,0.5,PTS,Phillip Danault,NHL,LA,2023-10-11
259,0.5,PTS,Drew Doughty,NHL,LA,2023-10-11
260,0.5,AST,Drew Doughty,NHL,LA,2023-10-11
261,1.5,blocked_shots,Mikey Anderson,NHL,LA,2023-10-11
262,54.5,Rush Yards,Torrance Burgess,CFB,TEP,2023-10-11
263,43.5,Receiving Yards,Tyrin Smith,CFB,TEP,2023-10-11
264,37.5,Receiving Yards,Kelly Akharaiyi,CFB,TEP,2023-10-11
265,229.5,Pass Yards,Keyone Jenkins,CFB,FIU,2023-10-11
266,40.5,Rush Yards,Shomari Lawrence,CFB,FIU,2023-10-11
267,0.5,rush_rec_tds,Kris Mitchell,CFB,FIU,2023-10-11
268,43.5,Receiving Yards,Dean Patterson,CFB,FIU,2023-10-11
269,84.5,Receiving Yards,Kris Mitchell,CFB,FIU,2023-10-11
270,225.5,Pass Yards,Keegan Shoemaker,CFB,SHS,2023-10-11
271,38.5,Rush Yards,Zach Hrbacek,CFB,SHS,2023-10-11
272,30.5,Receiving Yards,Malik Phillips,CFB,SHS,2023-10-11
273,71.5,Receiving Yards,Noah Smith,CFB,SHS,2023-10-11
274,193.5,Pass Yards,Diego Pavia,CFB,NMS,2023-10-11
275,42.5,Rush Yards,Star Thomas,CFB,NMS,2023-10-11
276,27.5,Receiving Yards,Trent Hudson,CFB,NMS,2023-10-11
277,36.5,Receiving Yards,Jonathan Brady,CFB,NMS,2023-10-11
278,182.5,Pass Yards,Garrett Greene,CFB,WVU,2023-10-12
279,51.5,Rush Yards,Garrett Greene,CFB,WVU,2023-10-12
280,240.5,passing_and_rushing_yds,Garrett Greene,CFB,WVU,2023-10-12
281,0.5,passing_ints,Garrett Greene,CFB,WVU,2023-10-12
282,14.5,passing_comps,Garrett Greene,CFB,WVU,2023-10-12
283,25.5,passing_att,Garrett Greene,CFB,WVU,2023-10-12
284,12.5,rushing_att,Garrett Greene,CFB,WVU,2023-10-12
285,85.5,Rush Yards,CJ Donaldson Jr.,other,WVU,2023-10-12
286,34.5,Receiving Yards,Devin Carter,CFB,WVU,2023-10-12
287,38.5,Receiving Yards,Hudson Clement,CFB,WVU,2023-10-12
288,28.5,Receiving Yards,Kole Taylor,CFB,WVU,2023-10-12
289,6.5,kicking_points,Michael Hayes,CFB,WVU,2023-10-12
290,1.5,passing_tds,Donovan Smith,CFB,HOU,2023-10-12
291,255.5,Pass Yards,Donovan Smith,CFB,HOU,2023-10-12
292,26.5,Rush Yards,Donovan Smith,CFB,HOU,2023-10-12
293,285.5,passing_and_rushing_yds,Donovan Smith,CFB,HOU,2023-10-12
294,47.5,Receiving Yards,Joseph Manjack,CFB,HOU,2023-10-12
295,74.5,Receiving Yards,Samuel Brown,CFB,HOU,2023-10-12
296,57.5,Receiving Yards,Matthew Golden,CFB,HOU,2023-10-12
297,5.0,receiving_rec,Samuel Brown,CFB,HOU,2023-10-12
298,4.5,receiving_rec,Matthew Golden,CFB,HOU,2023-10-12
299,3.0,extra_points_made,Jack Martin,CFB,HOU,2023-10-12
300,6.0,kicking_points,Jack Martin,CFB,HOU,2023-10-12
301,260.5,Pass Yards,Preston Stone,CFB,SMU,2023-10-12
302,14.5,Rush Yards,Preston Stone,CFB,SMU,2023-10-12
303,42.5,Receiving Yards,Jake Bailey,CFB,SMU,2023-10-12
304,37.5,Receiving Yards,RJ Maryland,CFB,SMU,2023-10-12
305,49.5,Rush Yards,Rahjai Harris,CFB,ECU,2023-10-12
306,40.5,Rush Yards,Casey Filkins,CFB,STA,2023-10-13
307,342.5,Pass Yards,Shedeur Sanders,CFB,COL,2023-10-13
308,32.5,Rush Yards,Anthony Hankerson,CFB,COL,2023-10-13
309,217.5,Pass Yards,J.J. McCarthy,CFB,MICH,2023-10-14
310,35.5,Rush Yards,Donovan Edwards,CFB,MICH,2023-10-14
311,87.5,Rush Yards,Blake Corum,CFB,MICH,2023-10-14
312,2.0,passing_tds,Kyle McCord,CFB,OSU,2023-10-14
313,276.5,Pass Yards,Kyle McCord,CFB,OSU,2023-10-14
314,282.5,passing_and_rushing_yds,Kyle McCord,CFB,OSU,2023-10-14
315,0.5,passing_ints,Kyle McCord,CFB,OSU,2023-10-14
316,21.5,passing_comps,Kyle McCord,CFB,OSU,2023-10-14
317,31.5,passing_att,Kyle McCord,CFB,OSU,2023-10-14
318,87.5,Receiving Yards,Marvin Harrison Jr.,other,OSU,2023-10-14
319,6.0,receiving_rec,Marvin Harrison Jr.,other,OSU,2023-10-14
320,38.5,Receiving Yards,Cade Stover,CFB,OSU,2023-10-14
321,3.5,receiving_rec,Cade Stover,CFB,OSU,2023-10-14
322,7.5,kicking_points,Jayden Fielding,CFB,OSU,2023-10-14
323,206.5,Pass Yards,Hudson Card,CFB,PUR,2023-10-14
324,5.5,Rush Yards,Hudson Card,CFB,PUR,2023-10-14
325,214.5,passing_and_rushing_yds,Hudson Card,CFB,PUR,2023-10-14
326,24.5,Rush Yards,Dylan Downing,CFB,PUR,2023-10-14
327,42.5,Rush Yards,Devin Mockobee,CFB,PUR,2023-10-14
328,13.5,Receiving Yards,Devin Mockobee,CFB,PUR,2023-10-14
329,30.5,rush_rec_yds,Dylan Downing,CFB,PUR,2023-10-14
330,60.5,rush_rec_yds,Devin Mockobee,CFB,PUR,2023-10-14
331,2.0,receiving_rec,Devin Mockobee,CFB,PUR,2023-10-14
332,31.5,Receiving Yards,TJ Sheffield,CFB,PUR,2023-10-14
333,40.5,Receiving Yards,Abdur-Rahmaan Yaseen,CFB,PUR,2023-10-14
334,48.5,Receiving Yards,Deion Burks,CFB,PUR,2023-10-14
335,3.0,receiving_rec,TJ Sheffield,CFB,PUR,2023-10-14
336,4.5,receiving_rec,Deion Burks,CFB,PUR,2023-10-14
337,22.5,Receiving Yards,Garrett Miller,CFB,PUR,2023-10-14
338,2.5,receiving_rec,Garrett Miller,CFB,PUR,2023-10-14
339,4.5,kicking_points,Julio Macias,CFB,PUR,2023-10-14
340,195.5,Pass Yards,Rocco Becht,CFB,ISU,2023-10-14
341,17.5,passing_comps,Rocco Becht,CFB,ISU,2023-10-14
342,30.5,passing_att,Rocco Becht,CFB,ISU,2023-10-14
343,35.5,Receiving Yards,Jayden Higgins,CFB,ISU,2023-10-14
344,52.5,Receiving Yards,Jaylin Noel,CFB,ISU,2023-10-14
345,2.0,extra_points_made,Chase Contreraz,CFB,ISU,2023-10-14
346,5.0,kicking_points,Chase Contreraz,CFB,ISU,2023-10-14
347,1.5,passing_tds,Emory Jones,CFB,CIN,2023-10-14
348,225.5,Pass Yards,Emory Jones,CFB,CIN,2023-10-14
349,40.5,Rush Yards,Emory Jones,CFB,CIN,2023-10-14
350,269.5,passing_and_rushing_yds,Emory Jones,CFB,CIN,2023-10-14
351,18.5,passing_comps,Emory Jones,CFB,CIN,2023-10-14
352,30.5,passing_att,Emory Jones,CFB,CIN,2023-10-14
353,0.5,rush_rec_tds,Corey Kiner,CFB,CIN,2023-10-14
354,65.5,Rush Yards,Corey Kiner,CFB,CIN,2023-10-14
355,15.5,rushing_att,Corey Kiner,CFB,CIN,2023-10-14
356,32.5,Receiving Yards,Dee Wiggins,CFB,CIN,2023-10-14
357,54.5,Receiving Yards,Xzavier Henderson,CFB,CIN,2023-10-14
358,4.5,receiving_rec,Xzavier Henderson,CFB,CIN,2023-10-14
359,6.5,kicking_points,Carter Brown,CFB,CIN,2023-10-14
360,207.5,Pass Yards,Max Johnson,CFB,TXAM,2023-10-14
361,70.5,Rush Yards,Le'Veon Moss,CFB,TXAM,2023-10-14
362,275.5,Pass Yards,Joe Milton III,other,TEN,2023-10-14
363,35.5,Rush Yards,Jabari Small,CFB,TEN,2023-10-14
364,49.5,Rush Yards,Jaylen Wright,CFB,TEN,2023-10-14
365,288.5,Pass Yards,Bo Nix,CFB,ORE,2023-10-14
366,16.5,Rush Yards,Bo Nix,CFB,ORE,2023-10-14
367,86.5,Rush Yards,Bucky Irving,CFB,ORE,2023-10-14
368,36.5,Receiving Yards,Gary Bryant Jr.,other,ORE,2023-10-14
369,89.5,Receiving Yards,Troy Franklin,CFB,ORE,2023-10-14
370,28.5,Receiving Yards,Terrance Ferguson,CFB,ORE,2023-10-14
371,349.5,Pass Yards,Michael Penix Jr.,other,WAS,2023-10-14
372,51.5,Rush Yards,Dillon Johnson,CFB,WAS,2023-10-14
373,78.5,Receiving Yards,Ja'Lynn Polk,CFB,WAS,2023-10-14
374,31.5,Receiving Yards,Germie Bernard,CFB,WAS,2023-10-14
375,90.5,Receiving Yards,Jalen McMillan,CFB,WAS,2023-10-14
376,91.5,Receiving Yards,Rome Odunze,CFB,WAS,2023-10-14
377,125.5,Pass Yards,Deacon Hill,CFB,IOW,2023-10-14
378,0.5,passing_ints,Deacon Hill,CFB,IOW,2023-10-14
379,20.5,Receiving Yards,Diante Vines,CFB,IOW,2023-10-14
380,16.5,Receiving Yards,Nico Ragaini,CFB,IOW,2023-10-14
381,11.5,Receiving Yards,Seth Anderson,CFB,IOW,2023-10-14
