,player,team,line,stat,league,date,time
115,Isiah Pacheco,DEN,0.5,Pass+Rush+Rec TDs,9,2023-10-12,2023-10-10 15:57:00
116,Chelsea Gray,NYL,5.0,TRB,3,2023-10-11,2023-10-10 15:57:00
117,Chelsea Gray,NYL,17.0,PTS,3,2023-10-11,2023-10-10 15:57:00
118,Chelsea Gray,NYL 1st Half,8.5,PTS,193,2023-10-11,2023-10-10 15:57:00
119,Smoke Harris,MTS,67.5,Receiving Yards,15,2023-10-10,2023-10-10 15:57:00
120,Kevin Durant,2023-2024 Season,0.5,50+ Point Games,173,2023-10-24,2023-10-10 15:57:00
121,Kevin Durant,2023-2024 Season,1.5,Triple-Doubles,173,2023-10-24,2023-10-10 15:57:00
122,Kevin Durant,2023-2024 Season,17.5,30+ Point Games,173,2023-10-24,2023-10-10 15:57:00
123,Kevin Durant,2023-2024 Season,10.5,Technical Fouls,173,2023-10-24,2023-10-10 15:57:00
124,Cortavious Romious (DWCS),Ramon Taveras,34.5,Significant Strikes,12,2023-10-10,2023-10-10 15:57:00
125,Cortavious Romious (DWCS),Ramon Taveras,7.5,Fight Time (Mins),12,2023-10-10,2023-10-10 15:57:00
126,Cortavious Romious (DWCS),Ramon Taveras,1.5,Takedowns,12,2023-10-10,2023-10-10 15:57:00
127,Polina Kudermetova,K. von Deichmann (Seoul),2.0,Aces,5,2023-10-11,2023-10-10 15:57:00
128,Polina Kudermetova,K. von Deichmann (Seoul),21.5,Total Games,5,2023-10-11,2023-10-10 15:57:00
129,Polina Kudermetova,K. von Deichmann (Seoul),5.0,Break Points Won,5,2023-10-11,2023-10-10 15:57:00
130,Rodri,Scotland,102.5,Passes Attempted,82,2023-10-12,2023-10-10 15:57:00
131,Ansu Fati,Scotland,2.5,Shots,82,2023-10-12,2023-10-10 15:57:00
132,Jonquel Jones,LVA,15.5,PTS,3,2023-10-11,2023-10-10 15:57:00
133,Klay Thompson,2023-2024 Season,1.5,Technical Fouls,173,2023-10-24,2023-10-10 15:57:00
134,Klay Thompson,2023-2024 Season,21.1,Points Per Game AVG,173,2023-10-24,2023-10-10 15:57:00
135,Auston Matthews,2023-2024 Season,51.5,Goals,236,2023-10-11,2023-10-10 15:57:00
136,Ekaterina Alexandrova,Y. Wickmayer (Seoul),21.0,Total Games,5,2023-10-11,2023-10-10 15:57:00
137,Klay Thompson,2023-2024 Season,0.5,Double-Doubles,173,2023-10-24,2023-10-10 15:57:00
138,Aaron Nola,ATL,5.0,Pitcher Strikeouts,2,2023-10-11,2023-10-10 15:57:00
139,Jonquel Jones,LVA,11.5,TRB,3,2023-10-11,2023-10-10 15:57:00
140,Aaron Nola,ATL,24.5,Pitcher Fantasy Score,2,2023-10-11,2023-10-10 15:57:00
141,Aaron Nola,ATL,4.5,Hits Allowed,2,2023-10-11,2023-10-10 15:57:00
142,Angus Gunn,Spain,4.0,Goalie Saves,82,2023-10-12,2023-10-10 15:57:00
143,Ekaterina Alexandrova,Y. Wickmayer (Seoul),4.5,Break Points Won,5,2023-10-11,2023-10-10 15:57:00
144,Unai Simon,Scotland,2.0,Goalie Saves,82,2023-10-12,2023-10-10 15:57:00
145,Oihan Sancet,Scotland,1.5,Shots,82,2023-10-12,2023-10-10 15:57:00
146,Mikel Oyarzabal,Scotland,2.0,Shots,82,2023-10-12,2023-10-10 15:57:00
147,Elijah Metcalf,LT,60.5,Receiving Yards,15,2023-10-10,2023-10-10 15:57:00
148,Jack Hendry,Spain,3.0,Clearances,82,2023-10-12,2023-10-10 15:57:00
149,Ferran Torres,Scotland,2.0,Shots,82,2023-10-12,2023-10-10 15:57:00
150,Rodri,Scotland,1.5,Shots,82,2023-10-12,2023-10-10 15:57:00
151,Andy Robertson,Spain,1.5,Tackles,82,2023-10-12,2023-10-10 15:57:00
152,Joselu,Scotland,3.0,Shots,82,2023-10-12,2023-10-10 15:57:00
153,Alvaro Morata,Scotland,2.5,Shots,82,2023-10-12,2023-10-10 15:57:00
154,Ekaterina Alexandrova,Y. Wickmayer (Seoul),4.0,Aces,5,2023-10-11,2023-10-10 15:57:00
155,Nico Williams,Scotland,1.5,Shots,82,2023-10-12,2023-10-10 15:57:00
156,Klay Thompson,2023-2024 Season,4.2,3PT Made Per Game AVG,173,2023-10-24,2023-10-10 15:57:00
157,Alvaro Morata,Scotland,0.5,Goals,82,2023-10-12,2023-10-10 15:57:00
158,Klay Thompson,2023-2024 Season,0.5,50+ Point Games,173,2023-10-24,2023-10-10 15:57:00
159,Jonquel Jones,LVA 1st Half,7.5,PTS,193,2023-10-11,2023-10-10 15:57:00
160,Klay Thompson,2023-2024 Season,10.5,30+ Point Games,173,2023-10-24,2023-10-10 15:57:00
161,Erling Haaland,Cyprus,1.5,Goal + Assist,82,2023-10-12,2023-10-10 15:57:00
162,Jackie Young,NYL,5.0,TRB,3,2023-10-11,2023-10-10 15:57:00
163,Devin Booker,2023-2024 Season,27.1,Points Per Game AVG,173,2023-10-24,2023-10-10 15:57:00
164,Jackie Young,NYL,19.0,PTS,3,2023-10-11,2023-10-10 15:57:00
165,Kaja Juvan,Y. Yuan (Seoul),21.5,Total Games,5,2023-10-11,2023-10-10 15:57:00
166,Cyrus Allen,MTS,60.5,Receiving Yards,15,2023-10-10,2023-10-10 15:57:00
167,Cole Caufield,2023-2024 Season,32.5,Goals,236,2023-10-11,2023-10-10 15:57:00
168,Jackie Young,NYL,4.5,AST,3,2023-10-11,2023-10-10 15:57:00
169,Devin Booker,2023-2024 Season,0.5,50+ Point Games,173,2023-10-24,2023-10-10 15:57:00
170,Devin Booker,2023-2024 Season,11.5,Technical Fouls,173,2023-10-24,2023-10-10 15:57:00
171,Devin Booker,2023-2024 Season,8.5,Double-Doubles,173,2023-10-24,2023-10-10 15:57:00
172,Devin Booker,2023-2024 Season,2.1,3PT Made Per Game AVG,173,2023-10-24,2023-10-10 15:57:00
173,Jackie Young,NYL 1st Half,9.5,PTS,193,2023-10-11,2023-10-10 15:57:00
174,Kaja Juvan,Y. Yuan (Seoul),1.5,Aces,5,2023-10-11,2023-10-10 15:57:00
175,Devin Booker,2023-2024 Season,23.5,30+ Point Games,173,2023-10-24,2023-10-10 15:57:00
176,Devin Booker,2023-2024 Season,6.6,Assists Per Game AVG,173,2023-10-24,2023-10-10 15:57:00
177,Kaja Juvan,Y. Yuan (Seoul),4.5,Break Points Won,5,2023-10-11,2023-10-10 15:57:00
178,Betnijah Laney,LVA 1st Half,7.5,PTS,193,2023-10-11,2023-10-10 15:57:00
179,Chris Paul,2023-2024 Season,5.5,Technical Fouls,173,2023-10-24,2023-10-10 15:57:00
180,Magdalena Frech,A. Danilina (Hong Kong),5.0,Break Points Won,5,2023-10-11,2023-10-10 15:57:00
181,Mitch Marner,2023-2024 Season,32.5,Goals,236,2023-10-11,2023-10-10 15:57:00
182,Chris Paul,2023-2024 Season,0.5,30+ Point Games,173,2023-10-24,2023-10-10 15:57:00
183,Magdalena Frech,A. Danilina (Hong Kong),18.0,Total Games,5,2023-10-11,2023-10-10 15:57:00
184,Betnijah Laney,LVA,15.5,PTS,3,2023-10-11,2023-10-10 15:57:00
185,Beatriz Haddad Maia,A. Sasnovich (Hong Kong),4.0,Break Points Won,5,2023-10-11,2023-10-10 15:57:00
186,Bradley Beal,2023-2024 Season,8.5,30+ Point Games,173,2023-10-24,2023-10-10 15:57:00
187,Beatriz Haddad Maia,A. Sasnovich (Hong Kong),21.0,Total Games,5,2023-10-11,2023-10-10 15:57:00
188,Russell Wilson,KC,228.5,Pass Yards,9,2023-10-12,2023-10-10 15:57:00
189,Bradley Beal,2023-2024 Season,20.8,Points Per Game AVG,173,2023-10-24,2023-10-10 15:57:00
190,Russell Wilson,KC,0.5,INT,9,2023-10-12,2023-10-10 15:57:00
191,Sebastian Aho,2023-2024 Season,36.5,Goals,236,2023-10-11,2023-10-10 15:57:00
192,Russell Wilson,KC,20.5,Rush Yards,9,2023-10-12,2023-10-10 15:57:00
193,Kevon Looney,2023-2024 Season,9.1,Rebounds Per Game AVG,173,2023-10-24,2023-10-10 15:57:00
194,Sara Sorribes Tormo,C. Wu Ho (Hong Kong),5.0,Break Points Won,5,2023-10-11,2023-10-10 15:57:00
195,Brandon Pfaadt,LAD,3.5,Pitcher Strikeouts,2,2023-10-11,2023-10-10 15:57:00
196,Patrick Mahomes,DEN,0.5,INT,9,2023-10-12,2023-10-10 15:57:00
197,Sara Sorribes Tormo,C. Wu Ho (Hong Kong),16.0,Total Games,5,2023-10-11,2023-10-10 15:57:00
198,Lamelo Ball,2023-2024 Season,8.7,Assists Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
199,Lamelo Ball,2023-2024 Season,4.5,Triple-Doubles,173,2023-10-25,2023-10-10 15:57:00
200,Lamelo Ball,2023-2024 Season,4.0,3PT Made Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
201,Lamelo Ball,2023-2024 Season,12.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
202,Patrick Mahomes,DEN,270.5,Pass Yards,9,2023-10-12,2023-10-10 15:57:00
203,Lamelo Ball,2023-2024 Season,23.7,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
204,John Tavares,2023-2024 Season,30.5,Goals,236,2023-10-11,2023-10-10 15:57:00
205,Trae Young,2023-2024 Season,9.9,Assists Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
206,Isiah Pacheco,DEN,74.5,Rush Yards,9,2023-10-12,2023-10-10 15:57:00
207,Trae Young,2023-2024 Season,2.4,3PT Made Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
208,Alina Korneeva,V. Savinykh (Hong Kong),5.0,Break Points Won,5,2023-10-11,2023-10-10 15:57:00
209,Lance Lynn,ARI,11.5,Pitching Outs,2,2023-10-11,2023-10-10 15:57:00
210,Alina Korneeva,V. Savinykh (Hong Kong),20.5,Total Games,5,2023-10-11,2023-10-10 15:57:00
211,Trae Young,2023-2024 Season,26.1,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
212,Trae Young,2023-2024 Season,11.5,Technical Fouls,173,2023-10-25,2023-10-10 15:57:00
213,Isiah Pacheco,DEN,11.5,Receiving Yards,9,2023-10-12,2023-10-10 15:57:00
214,Isiah Pacheco,DEN,89.5,Rush+Rec Yds,9,2023-10-12,2023-10-10 15:57:00
215,Isiah Pacheco,DEN,16.5,Rush Attempts,9,2023-10-12,2023-10-10 15:57:00
216,Trae Young,2023-2024 Season,20.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
217,Trae Young,2023-2024 Season,0.5,50+ Point Games,173,2023-10-25,2023-10-10 15:57:00
218,David Pastrnak,2023-2024 Season,47.5,Goals,236,2023-10-11,2023-10-10 15:57:00
219,Brandon Miller ,2023-2024 Season,14.3,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
220,Connor McDavid,2023-2024 Season,55.5,Goals,236,2023-10-11,2023-10-10 15:57:00
221,Sofya Lansere,H. Yi Cody Wong (Hong Kong),5.0,Break Points Won,5,2023-10-11,2023-10-10 15:57:00
222,Sofya Lansere,H. Yi Cody Wong (Hong Kong),21.5,Total Games,5,2023-10-11,2023-10-10 15:57:00
223,Terry Rozier,2023-2024 Season,2.5,Double-Doubles,173,2023-10-25,2023-10-10 15:57:00
224,Jerick McKinnon,DEN,24.5,Rush+Rec Yds,9,2023-10-12,2023-10-10 15:57:00
225,Elias Pettersson,2023-2024 Season,35.5,Goals,236,2023-10-11,2023-10-10 15:57:00
226,Elise Mertens,D. Saville (Hong Kong),21.0,Total Games,5,2023-10-11,2023-10-10 15:57:00
227,Jerick McKinnon,DEN,8.5,Rush Yards,9,2023-10-12,2023-10-10 15:57:00
228,Jerick McKinnon,DEN,12.5,Receiving Yards,9,2023-10-12,2023-10-10 15:57:00
229,Elise Mertens,D. Saville (Hong Kong),4.5,Break Points Won,5,2023-10-11,2023-10-10 15:57:00
230,Terry Rozier,2023-2024 Season,20.1,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
231,Anna Blinkova,P. Hon (Hong Kong),20.0,Total Games,5,2023-10-11,2023-10-10 15:57:00
232,Leon Draisaitl,2023-2024 Season,50.5,Goals,236,2023-10-11,2023-10-10 15:57:00
233,Jordan Poole,2023-2024 Season,15.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
234,Jordan Poole,2023-2024 Season,8.5,Technical Fouls,173,2023-10-25,2023-10-10 15:57:00
235,Tyus Jones,2023-2024 Season,6.9,Assists Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
236,Fred VanVleet,2023-2024 Season,0.5,Triple-Doubles,173,2023-10-25,2023-10-10 15:57:00
237,Anna Blinkova,P. Hon (Hong Kong),5.0,Break Points Won,5,2023-10-11,2023-10-10 15:57:00
238,Jordan Poole,2023-2024 Season,24.4,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
239,Jordan Poole,2023-2024 Season,3.1,3PT Made Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
240,Javonte Williams,KC,38.5,Rush Yards,9,2023-10-12,2023-10-10 15:57:00
241,Tyrese Haliburton,2023-2024 Season,1.5,Technical Fouls,173,2023-10-25,2023-10-10 15:57:00
242,Tyrese Haliburton,2023-2024 Season,9.9,Assists Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
243,Mitchell Robinson,2023-2024 Season,17.5,Double-Doubles,173,2023-10-25,2023-10-10 15:57:00
244,Anhelina Kalinina,V. Zvonareva (Zhengzhou),21.0,Total Games,5,2023-10-11,2023-10-10 15:57:00
245,Tyrese Haliburton,2023-2024 Season,8.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
246,Anhelina Kalinina,V. Zvonareva (Zhengzhou),2.0,Aces,5,2023-10-11,2023-10-10 15:57:00
247,Tyrese Haliburton,2023-2024 Season,21.2,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
248,Anhelina Kalinina,V. Zvonareva (Zhengzhou),4.5,Break Points Won,5,2023-10-11,2023-10-10 15:57:00
249,Nathan MacKinnon,2023-2024 Season,39.5,Goals,236,2023-10-11,2023-10-10 15:57:00
250,Javonte Williams,KC,12.5,Receiving Yards,9,2023-10-12,2023-10-10 15:57:00
251,Kyle Kuzma,2023-2024 Season,0.5,Technical Fouls,173,2023-10-25,2023-10-10 15:57:00
252,Kevin Fiala,2023-2024 Season,26.5,Goals,236,2023-10-11,2023-10-10 15:57:00
253,Caroline Garcia ,J. Paolini (Zhengzhou),7.0,Aces,5,2023-10-11,2023-10-10 15:57:00
254,Adam Trautman,KC,20.5,Receiving Yards,9,2023-10-12,2023-10-10 15:57:00
255,Kyle Kuzma,2023-2024 Season,21.5,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
256,Kyle Kuzma,2023-2024 Season,9.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
257,Caroline Garcia ,J. Paolini (Zhengzhou),21.5,Total Games,5,2023-10-11,2023-10-10 15:57:00
258,Caroline Garcia ,J. Paolini (Zhengzhou),4.0,Break Points Won,5,2023-10-11,2023-10-10 15:57:00
259,Jalen Brunson,2023-2024 Season,14.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
260,Jalen Brunson,2023-2024 Season,7.5,Double-Doubles,173,2023-10-25,2023-10-10 15:57:00
261,Rudy Gobert,2023-2024 Season,7.5,Technical Fouls,173,2023-10-25,2023-10-10 15:57:00
262,Qinwen Zheng,M. Sakkari (Zhengzhou),21.5,Total Games,5,2023-10-11,2023-10-10 15:57:00
