,player,team,line,stat,league,date,event_time,time,prop_id
20,Teun Koopmeiners,Empoli,2.0,Shots,82,2023-10-30 12:30:00-05:00,2023-10-30 12:30:00-05:00,2023-10-30 09:39:00,84e04e86-2
21,Gianluca Scamacca,Empoli,2.5,Shots,82,2023-10-30 12:30:00-05:00,2023-10-30 12:30:00-05:00,2023-10-30 09:39:00,bc2b43f1-7
22,Mattia Destro,Atalanta,2.0,Shots,82,2023-10-30 12:30:00-05:00,2023-10-30 12:30:00-05:00,2023-10-30 09:39:00,6cb39001-d
23,Francesco Caputo,Atalanta,1.5,Shots,82,2023-10-30 12:30:00-05:00,2023-10-30 12:30:00-05:00,2023-10-30 09:39:00,1a7732dc-3
24,Marten de Roon,Empoli,2.0,Tackles,82,2023-10-30 12:30:00-05:00,2023-10-30 12:30:00-05:00,2023-10-30 09:39:00,41621547-2
25,Sebastiano Luperto,Atalanta,4.0,Clearances,82,2023-10-30 12:30:00-05:00,2023-10-30 12:30:00-05:00,2023-10-30 09:39:00,fe2ba997-6
26,Luis Muriel,Empoli,2.5,Shots,82,2023-10-30 12:30:00-05:00,2023-10-30 12:30:00-05:00,2023-10-30 09:39:00,cf57d66c-e
27,Etrit Berisha,Atalanta,3.5,Goalie Saves,82,2023-10-30 12:30:00-05:00,2023-10-30 12:30:00-05:00,2023-10-30 09:39:00,adb30bf6-9
28,Juan Musso,Empoli,2.5,Goalie Saves,82,2023-10-30 12:30:00-05:00,2023-10-30 12:30:00-05:00,2023-10-30 09:39:00,b87a45a3-8
29,Gustav Isaksen,Fiorentina,1.5,Shots,82,2023-10-30 14:45:00-05:00,2023-10-30 14:45:00-05:00,2023-10-30 09:39:00,28c877dc-3
30,Eduarda Moura,Montserrat Ruiz,10.0,Fight Time (Mins),12,2023-11-04 17:40:00-05:00,2023-11-04 17:40:00-05:00,2023-10-30 09:39:00,a61ceddf-2
31,Corbin Carroll,TEX,7.5,Hitter Fantasy Score,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,c0b3d084-2
32,Nikola Milenkovic,Lazio,3.5,Clearances,82,2023-10-30 14:45:00-05:00,2023-10-30 14:45:00-05:00,2023-10-30 09:39:00,4944159e-a
33,Luis Alberto,Fiorentina,1.5,Tackles,82,2023-10-30 14:45:00-05:00,2023-10-30 14:45:00-05:00,2023-10-30 09:39:00,d013fd97-9
34,Eduarda Moura,Montserrat Ruiz,1.5,Takedowns,12,2023-11-04 17:40:00-05:00,2023-11-04 17:40:00-05:00,2023-10-30 09:39:00,c8364985-b
35,Valentin Castellanos,Fiorentina,2.0,Shots,82,2023-10-30 14:45:00-05:00,2023-10-30 14:45:00-05:00,2023-10-30 09:39:00,0989ce5b-9
36,Giacomo Bonaventura,Lazio,1.5,Shots,82,2023-10-30 14:45:00-05:00,2023-10-30 14:45:00-05:00,2023-10-30 09:39:00,efa1365a-e
37,Gustav Isaksen,Fiorentina,0.5,Shots On Target,82,2023-10-30 14:45:00-05:00,2023-10-30 14:45:00-05:00,2023-10-30 09:39:00,d4a97327-4
38,Ivan Provedel,Fiorentina,2.5,Goalie Saves,82,2023-10-30 14:45:00-05:00,2023-10-30 14:45:00-05:00,2023-10-30 09:39:00,2ddf41d8-f
39,Luis Alberto,Fiorentina,1.5,Shots,82,2023-10-30 14:45:00-05:00,2023-10-30 14:45:00-05:00,2023-10-30 09:39:00,d54749d8-e
40,Jonathan Ikone,Lazio,1.5,Shots,82,2023-10-30 14:45:00-05:00,2023-10-30 14:45:00-05:00,2023-10-30 09:39:00,7e1e2032-2
41,Luis Alberto,Fiorentina,61.5,Passes Attempted,82,2023-10-30 14:45:00-05:00,2023-10-30 14:45:00-05:00,2023-10-30 09:39:00,d6402b20-d
42,Pietro Terracciano,Lazio,3.5,Goalie Saves,82,2023-10-30 14:45:00-05:00,2023-10-30 14:45:00-05:00,2023-10-30 09:39:00,98b3a66c-0
43,Max Scherzer,ARI,4.5,Pitcher Strikeouts,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,4b5b99e1-2
44,Max Scherzer,ARI,23.5,Pitcher Fantasy Score,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,c7c2e641-0
45,Max Scherzer,ARI,4.0,Hits Allowed,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,0fabae85-7
46,Corbin Carroll,TEX,0.5,Runs,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,f058b2b3-9
47,Ciro Immobile,Fiorentina,2.5,Shots,82,2023-10-30 14:45:00-05:00,2023-10-30 14:45:00-05:00,2023-10-30 09:39:00,26bb33ea-3
48,Evan Carter,ARI,1.5,Hits+Runs+RBIS,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,009579a7-1
49,Evan Longoria,TEX,0.5,Total Bases,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,3c071298-7
50,Nikola Milenkovic,Lazio,64.5,Passes Attempted,82,2023-10-30 14:45:00-05:00,2023-10-30 14:45:00-05:00,2023-10-30 09:39:00,fe1c5717-9
51,Eduarda Moura,Montserrat Ruiz,38.5,Significant Strikes,12,2023-11-04 17:40:00-05:00,2023-11-04 17:40:00-05:00,2023-10-30 09:39:00,6a328189-3
52,Max Scherzer + Davante Adams,ARI/DET,10.5,Strikeouts + Receptions,266,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,941a6057-1
53,Nicolas Gonzalez,Lazio,2.5,Shots,82,2023-10-30 14:45:00-05:00,2023-10-30 14:45:00-05:00,2023-10-30 09:39:00,2d5f0d67-a
54,Ketel Marte + 	Jimmy Garoppolo,TEX/DET,3.0,Total Bases + Pass TDs,266,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,3a8a4552-2
55,Max Scherzer,ARI,14.5,Pitching Outs,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,4efe01e1-b
56,Ketel Marte,TEX,1.5,Hits+Runs+RBIS,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,d6c1afee-1
57,Iga Swiatek,M. Vondrousova (WTA Finals),20.0,Total Games,5,2023-10-30 17:00:00-05:00,2023-10-30 17:00:00-05:00,2023-10-30 09:39:00,3f05ddbb-f
58,Alex Baena,Granada,2.0,Shots,82,2023-10-30 15:00:00-05:00,2023-10-30 15:00:00-05:00,2023-10-30 09:39:00,98744ffa-0
59,Corey Seager,ARI,7.5,Hitter Fantasy Score,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,c0c014c8-0
60,Ben Brereton Diaz,Granada,0.5,Shots On Target,82,2023-10-30 15:00:00-05:00,2023-10-30 15:00:00-05:00,2023-10-30 09:39:00,47119c0b-a
61,Alexander Sorloth,Granada,2.0,Shots,82,2023-10-30 15:00:00-05:00,2023-10-30 15:00:00-05:00,2023-10-30 09:39:00,43162764-3
62,Denise Gomes	,Angela Hill,75.5,Significant Strikes,12,2023-11-04 18:10:00-05:00,2023-11-04 18:10:00-05:00,2023-10-30 09:39:00,4040cf8a-e
63,Shon Weissman,Villarreal,1.5,Shots,82,2023-10-30 15:00:00-05:00,2023-10-30 15:00:00-05:00,2023-10-30 09:39:00,7bf9bda2-6
64,Corey Seager,ARI,0.5,Runs,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,a22bc61f-f
65,Ben Brereton Diaz,Granada,1.5,Shots,82,2023-10-30 15:00:00-05:00,2023-10-30 15:00:00-05:00,2023-10-30 09:39:00,46f9efbd-b
66,Adolis Garcia,ARI,1.5,Total Bases,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,d8bf061e-0
67,Iga Swiatek,M. Vondrousova (WTA Finals),1.0,Aces,5,2023-10-30 17:00:00-05:00,2023-10-30 17:00:00-05:00,2023-10-30 09:39:00,5cec777b-4
68,Iga Swiatek,M. Vondrousova (WTA Finals),4.0,Break Points Won,5,2023-10-30 17:00:00-05:00,2023-10-30 17:00:00-05:00,2023-10-30 09:39:00,9d77054d-0
69,Gerard Moreno,Granada,2.5,Shots,82,2023-10-30 15:00:00-05:00,2023-10-30 15:00:00-05:00,2023-10-30 09:39:00,2803b2ee-8
70,Jose Luis Morales,Granada,2.0,Shots,82,2023-10-30 15:00:00-05:00,2023-10-30 15:00:00-05:00,2023-10-30 09:39:00,0cff801b-0
71,Myrto Uzuni,Villarreal,1.5,Shots,82,2023-10-30 15:00:00-05:00,2023-10-30 15:00:00-05:00,2023-10-30 09:39:00,b161af1b-8
72,Andre Ferreira,Villarreal,3.0,Goalie Saves,82,2023-10-30 15:00:00-05:00,2023-10-30 15:00:00-05:00,2023-10-30 09:39:00,d397be89-2
73,Filip Jorgensen,Granada,2.5,Goalie Saves,82,2023-10-30 15:00:00-05:00,2023-10-30 15:00:00-05:00,2023-10-30 09:39:00,d20684eb-a
74,Alfonso Pedraza,Granada,33.5,Passes Attempted,82,2023-10-30 15:00:00-05:00,2023-10-30 15:00:00-05:00,2023-10-30 09:39:00,b6d27b8f-8
75,Myrto Uzuni,Villarreal,0.5,Shots On Target,82,2023-10-30 15:00:00-05:00,2023-10-30 15:00:00-05:00,2023-10-30 09:39:00,f8394fe1-8
76,Shon Weissman,Villarreal,0.5,Shots On Target,82,2023-10-30 15:00:00-05:00,2023-10-30 15:00:00-05:00,2023-10-30 09:39:00,4ad1c4bd-9
77,Coco Gauff,O. Jabeur (WTA Finals),21.5,Total Games,5,2023-10-30 18:15:00-05:00,2023-10-30 18:15:00-05:00,2023-10-30 09:39:00,c2bed9d9-6
78,Vitor Petrino	,Modestas Bukauskas,11.0,Fight Time (Mins),12,2023-11-04 18:40:00-05:00,2023-11-04 18:40:00-05:00,2023-10-30 09:39:00,c04fe8c7-0
79,Geraldo Perdomo,TEX,0.5,Total Bases,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,8413f899-c
80,Vitor Petrino	,Modestas Bukauskas,2.5,Takedowns,12,2023-11-04 18:40:00-05:00,2023-11-04 18:40:00-05:00,2023-10-30 09:39:00,5ed196e2-0
81,Jonah Heim,ARI,1.5,Hits+Runs+RBIS,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,01bf5e81-d
82,Coco Gauff,O. Jabeur (WTA Finals),3.0,Aces,5,2023-10-30 18:15:00-05:00,2023-10-30 18:15:00-05:00,2023-10-30 09:39:00,2efcd47c-4
83,Marcus Semien,ARI,0.5,Runs,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,b93c6e44-c
84,Vitor Petrino	,Modestas Bukauskas,39.5,Significant Strikes,12,2023-11-04 18:40:00-05:00,2023-11-04 18:40:00-05:00,2023-10-30 09:39:00,61148509-4
85,Ketel Marte,TEX,7.5,Hitter Fantasy Score,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,fcf706d7-d
86,Coco Gauff,O. Jabeur (WTA Finals),4.0,Break Points Won,5,2023-10-30 18:15:00-05:00,2023-10-30 18:15:00-05:00,2023-10-30 09:39:00,33326cb6-f
87,yuurih + xertioN,BIG/Spirit,61.5,MAPS 1-2 Kills (Combo),265,2023-10-30 10:00:00-05:00,2023-10-30 10:00:00-05:00,2023-10-30 09:39:00,e8ca90d9-8
88,Facundo Torres,Nashville,2.0,Shots,82,2023-10-30 18:00:00-05:00,2023-10-30 18:00:00-05:00,2023-10-30 09:39:00,4e2c5fe6-e
89,Ivan Angulo,Nashville,1.5,Shots,82,2023-10-30 18:00:00-05:00,2023-10-30 18:00:00-05:00,2023-10-30 09:39:00,6bd58dc3-d
90,Hany Mukhtar,Orlando,3.0,Shots,82,2023-10-30 18:00:00-05:00,2023-10-30 18:00:00-05:00,2023-10-30 09:39:00,16565dc1-3
91,Daniel Lovitz,Orlando,1.5,Tackles,82,2023-10-30 18:00:00-05:00,2023-10-30 18:00:00-05:00,2023-10-30 09:39:00,bf8d5c76-e
92,S. Hunter/E. Mertens,S. Aoyama/E. Shibahara (WTA Finals),20.0,Total Games,5,2023-10-30 14:30:00-05:00,2023-10-30 14:30:00-05:00,2023-10-30 09:39:00,e0983cb3-c
93,Rinat Fakhretdinov,Elizeu Zaleski dos Santos,36.5,Significant Strikes,12,2023-11-04 19:10:00-05:00,2023-11-04 19:10:00-05:00,2023-10-30 09:39:00,4b4dc43f-b
94,Rinat Fakhretdinov,Elizeu Zaleski dos Santos,3.0,Takedowns,12,2023-11-04 19:10:00-05:00,2023-11-04 19:10:00-05:00,2023-10-30 09:39:00,e097ff58-4
95,Rinat Fakhretdinov,Elizeu Zaleski dos Santos,12.5,Fight Time (Mins),12,2023-11-04 19:10:00-05:00,2023-11-04 19:10:00-05:00,2023-10-30 09:39:00,81b93e44-f
96,Marcus Semien,ARI,7.0,Hitter Fantasy Score,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,997f238d-1
97,Cesar Araujo,Nashville,0.5,Shots,82,2023-10-30 18:00:00-05:00,2023-10-30 18:00:00-05:00,2023-10-30 09:39:00,6b0284b7-5
98,Pedro Gallese,Nashville,2.5,Goalie Saves,82,2023-10-30 18:00:00-05:00,2023-10-30 18:00:00-05:00,2023-10-30 09:39:00,9bb32d5a-8
99,Joe Willis,Orlando,3.0,Goalie Saves,82,2023-10-30 18:00:00-05:00,2023-10-30 18:00:00-05:00,2023-10-30 09:39:00,e6a32e4b-9
100,Marcus Semien,ARI,1.5,Total Bases,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,b9807b5a-e
101,Walker Zimmerman,Orlando,4.0,Clearances,82,2023-10-30 18:00:00-05:00,2023-10-30 18:00:00-05:00,2023-10-30 09:39:00,b50c25bd-8
102,Hany Mukhtar,Orlando,2.0,Shots Assisted,82,2023-10-30 18:00:00-05:00,2023-10-30 18:00:00-05:00,2023-10-30 09:39:00,bebc4fc4-8
103,Facundo Torres,Nashville,31.5,Passes Attempted,82,2023-10-30 18:00:00-05:00,2023-10-30 18:00:00-05:00,2023-10-30 09:39:00,f9ef95f7-1
104,Gabriel Moreno,TEX,1.5,Hits+Runs+RBIS,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,3ed3744b-2
105,Duncan McGuire,Nashville,1.5,Shots,82,2023-10-30 18:00:00-05:00,2023-10-30 18:00:00-05:00,2023-10-30 09:39:00,9e13a58b-9
106,Robin Jansson,Nashville,3.0,Clearances,82,2023-10-30 18:00:00-05:00,2023-10-30 18:00:00-05:00,2023-10-30 09:39:00,319944f4-1
107,Alan Velasco,Sounders,2.0,Shots,82,2023-10-30 20:00:00-05:00,2023-10-30 20:00:00-05:00,2023-10-30 09:39:00,9ed1c4e9-4
108,Joao Paulo,Dallas,65.5,Passes Attempted,82,2023-10-30 20:00:00-05:00,2023-10-30 20:00:00-05:00,2023-10-30 09:39:00,a69bbbf5-4
109,Daniel Marcos	,Victor Hugo,10.0,Fight Time (Mins),12,2023-11-04 19:40:00-05:00,2023-11-04 19:40:00-05:00,2023-10-30 09:39:00,95a76bfd-1
110,Leo Chu,Dallas,1.5,Shots,82,2023-10-30 20:00:00-05:00,2023-10-30 20:00:00-05:00,2023-10-30 09:39:00,8266a275-1
111,Josh Jung,ARI,1.5,Hits+Runs+RBIS,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,f7326c9a-2
112,Yeimar Gomez Andrade,Dallas,0.5,Shots,82,2023-10-30 20:00:00-05:00,2023-10-30 20:00:00-05:00,2023-10-30 09:39:00,ed50735a-3
113,Stefan Frei,Dallas,2.5,Goalie Saves,82,2023-10-30 20:00:00-05:00,2023-10-30 20:00:00-05:00,2023-10-30 09:39:00,0b6f2db1-f
114,Maarten Paes,Sounders,3.0,Goalie Saves,82,2023-10-30 20:00:00-05:00,2023-10-30 20:00:00-05:00,2023-10-30 09:39:00,ead4eda7-3
115,Jesus Ferreira,Sounders,28.5,Passes Attempted,82,2023-10-30 20:00:00-05:00,2023-10-30 20:00:00-05:00,2023-10-30 09:39:00,f2fe1240-b
116,Nkosi Tafari,Sounders,4.5,Clearances,82,2023-10-30 20:00:00-05:00,2023-10-30 20:00:00-05:00,2023-10-30 09:39:00,9628c3db-0
117,Christian Walker,TEX,6.5,Hitter Fantasy Score,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,9ecb8674-b
118,Daniel Marcos	,Victor Hugo,44.5,Significant Strikes,12,2023-11-04 19:40:00-05:00,2023-11-04 19:40:00-05:00,2023-10-30 09:39:00,688216a4-b
119,Jesus Ferreira,Sounders,2.5,Shots,82,2023-10-30 20:00:00-05:00,2023-10-30 20:00:00-05:00,2023-10-30 09:39:00,a60c9fbd-d
120,Albert Rusnak,Dallas,2.0,Shots,82,2023-10-30 20:00:00-05:00,2023-10-30 20:00:00-05:00,2023-10-30 09:39:00,114fcb5e-0
121,Jackson Ragen,Dallas,4.0,Clearances,82,2023-10-30 20:00:00-05:00,2023-10-30 20:00:00-05:00,2023-10-30 09:39:00,c6e10aa9-f
122,Joao Paulo,Dallas,2.0,Tackles,82,2023-10-30 20:00:00-05:00,2023-10-30 20:00:00-05:00,2023-10-30 09:39:00,59bf029a-1
123,Cristian Roldan,Dallas,1.5,Shots,82,2023-10-30 20:00:00-05:00,2023-10-30 20:00:00-05:00,2023-10-30 09:39:00,b53c506c-e
124,D.Schuurs/D.Krawcyzk,E. Perez/N. Melichar-Martinez (WTA Finals),21.5,Total Games,5,2023-10-30 20:00:00-05:00,2023-10-30 20:00:00-05:00,2023-10-30 09:39:00,eeca8c77-b
125,donk + nicoodoz,MOUZ/The Prodigies,74.5,MAPS 1-2 Kills (Combo),265,2023-10-30 10:30:00-05:00,2023-10-30 10:30:00-05:00,2023-10-30 09:39:00,ff69ec6d-7
126,Jordan Morris,Dallas,1.5,Shots,82,2023-10-30 20:00:00-05:00,2023-10-30 20:00:00-05:00,2023-10-30 09:39:00,f795094c-8
127,Leo Chu,Dallas,0.5,Shots On Target,82,2023-10-30 20:00:00-05:00,2023-10-30 20:00:00-05:00,2023-10-30 09:39:00,54e89df5-5
128,Elves Brener	,Esteban Ribovics,14.75,Fight Time (Mins),12,2023-11-04 20:10:00-05:00,2023-11-04 20:10:00-05:00,2023-10-30 09:39:00,d7c371b2-d
129,Christian Walker,TEX,1.5,Hits+Runs+RBIS,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,bbd0a62a-d
130,Elves Brener	,Esteban Ribovics,62.5,Significant Strikes,12,2023-11-04 20:10:00-05:00,2023-11-04 20:10:00-05:00,2023-10-30 09:39:00,bbd52296-b
131,Mitch Garver,ARI,6.0,Hitter Fantasy Score,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,bb6ae423-5
132,Elves Brener	,Esteban Ribovics,2.5,Takedowns,12,2023-11-04 20:10:00-05:00,2023-11-04 20:10:00-05:00,2023-10-30 09:39:00,e33bffd3-3
133,Ismael Bonfim	,Vinc Pichel,48.5,Significant Strikes,12,2023-11-04 20:40:00-05:00,2023-11-04 20:40:00-05:00,2023-10-30 09:39:00,6794a766-f
134,Mitch Garver,ARI,1.5,Hits+Runs+RBIS,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,4fea8907-3
135,Gabriel Moreno,TEX,6.0,Hitter Fantasy Score,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,1cdfb93a-4
136,Ismael Bonfim	,Vinc Pichel,10.5,Fight Time (Mins),12,2023-11-04 20:40:00-05:00,2023-11-04 20:40:00-05:00,2023-10-30 09:39:00,bda9a626-1
137,Armen Petrosyan,Rodolfo Vieira,40.5,Significant Strikes,12,2023-11-04 21:10:00-05:00,2023-11-04 21:10:00-05:00,2023-10-30 09:39:00,4736898b-2
138,Tommy Pham,TEX,1.5,Hits+Runs+RBIS,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,6e5ed147-d
139,Armen Petrosyan,Rodolfo Vieira,9.5,Fight Time (Mins),12,2023-11-04 21:10:00-05:00,2023-11-04 21:10:00-05:00,2023-10-30 09:39:00,89eb46c1-6
140,Caio Borralho,Abus Magomedov,2.0,Takedowns,12,2023-11-04 21:40:00-05:00,2023-11-04 21:40:00-05:00,2023-10-30 09:39:00,6b0c1d7c-0
141,Brandon Hagel,SEA,0.5,PTS,8,2023-10-30 18:00:00-05:00,2023-10-30 18:00:00-05:00,2023-10-30 09:39:00,906e3cd9-f
142,Leody Taveras,ARI,1.5,Hits+Runs+RBIS,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,12aed73e-2
143,Caio Borralho,Abus Magomedov,30.5,Significant Strikes,12,2023-11-04 21:40:00-05:00,2023-11-04 21:40:00-05:00,2023-10-30 09:39:00,9418e4a6-e
144,Caio Borralho,Abus Magomedov,11.5,Fight Time (Mins),12,2023-11-04 21:40:00-05:00,2023-11-04 21:40:00-05:00,2023-10-30 09:39:00,75d8510f-2
145,Lourdes Gurriel Jr.,TEX,1.5,Hits+Runs+RBIS,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,02a9e91b-e
146,Rodrigo Nascimento,Don'Tale Mayes,41.5,Significant Strikes,12,2023-11-04 22:10:00-05:00,2023-11-04 22:10:00-05:00,2023-10-30 09:39:00,749e69fb-9
147,Jaden Schwartz,TB,0.5,PTS,8,2023-10-30 18:00:00-05:00,2023-10-30 18:00:00-05:00,2023-10-30 09:39:00,da1e9765-6
148,Rodrigo Nascimento,Don'Tale Mayes,2.0,Takedowns,12,2023-11-04 22:10:00-05:00,2023-11-04 22:10:00-05:00,2023-10-30 09:39:00,77d1dbb9-e
149,Rodrigo Nascimento,Don'Tale Mayes,10.5,Fight Time (Mins),12,2023-11-04 22:10:00-05:00,2023-11-04 22:10:00-05:00,2023-10-30 09:39:00,0836aa9b-8
150,Brandon Hagel,SEA,2.0,Shots On Goal,8,2023-10-30 18:00:00-05:00,2023-10-30 18:00:00-05:00,2023-10-30 09:39:00,5297ff21-7
151,Gabriel Bonfim	,Nicolas Dalby,25.5,Significant Strikes,12,2023-11-04 22:40:00-05:00,2023-11-04 22:40:00-05:00,2023-10-30 09:39:00,31cacd14-c
152,Jared McCann,TB,0.5,PTS,8,2023-10-30 18:00:00-05:00,2023-10-30 18:00:00-05:00,2023-10-30 09:39:00,eb307ce5-0
153,Gabriel Bonfim	,Nicolas Dalby,6.0,Fight Time (Mins),12,2023-11-04 22:40:00-05:00,2023-11-04 22:40:00-05:00,2023-10-30 09:39:00,e0636124-2
154,Jailton Almeida,Derrick Lewis,4.0,Fight Time (Mins),12,2023-11-04 22:59:00-05:00,2023-11-04 22:59:00-05:00,2023-10-30 09:39:00,70a1473f-f
155,Botic van de Zandschulp,A. Mannarino (Paris),2.0,Break Points Won,5,2023-10-30 09:40:00-05:00,2023-10-30 09:40:00-05:00,2023-10-30 09:39:00,be09ef9b-0
156,Jailton Almeida,Derrick Lewis,15.5,Significant Strikes,12,2023-11-04 22:59:00-05:00,2023-11-04 22:59:00-05:00,2023-10-30 09:39:00,007cd6ec-c
157,Botic van de Zandschulp,A. Mannarino (Paris),22.5,Total Games,5,2023-10-30 09:40:00-05:00,2023-10-30 09:40:00-05:00,2023-10-30 09:39:00,7c00e6bb-0
