,player,team,line,stat,league,date,event_time,time,prop_id
21,Corbin Carroll,TEX,1.5,Hits+Runs+RBIS,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,3f35eb65-4
22,Aryna Sabalenka,J. Pegula (WTA Finals),4.5,Break Points Won,5,2023-10-31 16:00:00-05:00,2023-10-31 16:00:00-05:00,2023-10-31 12:21:00,98672f3c-4
23,Dhokla + TheShy,WBG/NRG (MAPS 1-3 Kills (Combo)),13.0,MAPS 1-3 Kills (Combo),121,2023-11-02 03:00:00-05:00,2023-11-02 03:00:00-05:00,2023-10-31 12:21:00,5be40d01-f
24,Evan Carter,ARI,1.5,Hits+Runs+RBIS,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,9ba7a525-6
25,Lorenzo Brown,AX Armani Exchange Milan,6.5,AST,151,2023-10-31 14:30:00-05:00,2023-10-31 14:30:00-05:00,2023-10-31 12:21:00,30810539-1
26,Rocky Lombardi,CMC,191.5,Pass Yards,15,2023-10-31 18:00:00-05:00,2023-10-31 18:00:00-05:00,2023-10-31 12:21:00,7575ccf3-b
27,Pierre-Luc Dubois + Mitch Marner,TOR/LA,0.5,Goals (Combo),8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,14fb02a2-c
28,Lorenzo Brown,AX Armani Exchange Milan,15.5,PTS,151,2023-10-31 14:30:00-05:00,2023-10-31 14:30:00-05:00,2023-10-31 12:21:00,117ee982-0
29,Eduarda Moura,Montserrat Ruiz,10.0,Fight Time (Mins),12,2023-11-04 17:40:00-05:00,2023-11-04 17:40:00-05:00,2023-10-31 12:21:00,a61ceddf-2
30,Elena Rybakina,M. Sakkari (WTA Finals),3.5,Break Points Won,5,2023-10-31 17:30:00-05:00,2023-10-31 17:30:00-05:00,2023-10-31 12:21:00,8e65e5f6-4
31,Eduarda Moura,Montserrat Ruiz,38.5,Significant Strikes,12,2023-11-04 17:40:00-05:00,2023-11-04 17:40:00-05:00,2023-10-31 12:21:00,6a328189-3
32,Lorenzo Brown,AX Armani Exchange Milan,2.5,TRB,151,2023-10-31 14:30:00-05:00,2023-10-31 14:30:00-05:00,2023-10-31 12:21:00,51100fb5-3
33,Evan Mobley + Julius Randle,NYK/CLE,20.5,Rebounds (Combo),7,2023-10-31 18:30:00-05:00,2023-10-31 18:30:00-05:00,2023-10-31 12:21:00,b02056d4-8
34,Eduarda Moura,Montserrat Ruiz,1.5,Takedowns,12,2023-11-04 17:40:00-05:00,2023-11-04 17:40:00-05:00,2023-10-31 12:21:00,c8364985-b
35,Corbin Carroll,TEX,7.0,Hitter Fantasy Score,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,5cde62b7-8
36,Ketel Marte,TEX,1.5,Total Bases,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,70f46f3c-1
37,Lorenzo Brown,AX Armani Exchange Milan,24.5,PTS+TRB+AST,151,2023-10-31 14:30:00-05:00,2023-10-31 14:30:00-05:00,2023-10-31 12:21:00,cac4488f-2
38,Elena Rybakina,M. Sakkari (WTA Finals),21.5,Total Games,5,2023-10-31 17:30:00-05:00,2023-10-31 17:30:00-05:00,2023-10-31 12:21:00,548068d6-4
39,Elena Rybakina,M. Sakkari (WTA Finals),5.5,Aces,5,2023-10-31 17:30:00-05:00,2023-10-31 17:30:00-05:00,2023-10-31 12:21:00,12700765-8
40,Ketel Marte,TEX,0.5,Runs,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,44ab1f2d-0
41,Palafox + Faker,WBG/LNG (MAPS 1-3 Kills (Combo)),14.0,MAPS 1-3 Kills (Combo),121,2023-11-02 03:00:00-05:00,2023-11-02 03:00:00-05:00,2023-10-31 12:21:00,2aaf9806-6
42,Shavon Shields,Maccabi Playtika Tel Aviv,16.0,PTS,151,2023-10-31 14:30:00-05:00,2023-10-31 14:30:00-05:00,2023-10-31 12:21:00,52217ecc-3
43,TheShy + Bin,NRG/GEN (MAPS 1-3 Kills (Combo)),15.5,MAPS 1-3 Kills (Combo),121,2023-11-02 03:00:00-05:00,2023-11-02 03:00:00-05:00,2023-10-31 12:21:00,b0346d0b-7
44,Shavon Shields,Maccabi Playtika Tel Aviv,1.5,3P,151,2023-10-31 14:30:00-05:00,2023-10-31 14:30:00-05:00,2023-10-31 12:21:00,f4ecea16-b
45,Shavon Shields,Maccabi Playtika Tel Aviv,22.0,PTS+TRB+AST,151,2023-10-31 14:30:00-05:00,2023-10-31 14:30:00-05:00,2023-10-31 12:21:00,f22c2c42-d
46,Antario Brown,CMC,56.5,Rush Yards,15,2023-10-31 18:00:00-05:00,2023-10-31 18:00:00-05:00,2023-10-31 12:21:00,80f75d59-d
47,Anze Kopitar + Adrian Kempe,TOR,0.5,Goals (Combo),8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,cdd01858-2
48,Marcus Semien,ARI,7.0,Hitter Fantasy Score,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,34a433e0-8
49,Marcus Semien,ARI,0.5,Runs,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,0236ea93-d
50,Gabriel Moreno,TEX,1.5,Hits+Runs+RBIS,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,dbc9fee6-7
51,Donovan Mitchell + Jalen Brunson,NYK/CLE,12.0,Assists (Combo),7,2023-10-31 18:30:00-05:00,2023-10-31 18:30:00-05:00,2023-10-31 12:21:00,e07706ce-2
52,B. Krejcikova/K. Siniakova,L. Siegemund/V. Zvonareva (WTA Finals),19.5,Total Games,5,2023-10-31 14:30:00-05:00,2023-10-31 14:30:00-05:00,2023-10-31 12:21:00,851059fe-b
53,Denise Gomes	,Angela Hill,75.5,Significant Strikes,12,2023-11-04 18:10:00-05:00,2023-11-04 18:10:00-05:00,2023-10-31 12:21:00,4040cf8a-e
54,Marcus Semien,ARI,1.5,Total Bases,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,b607110a-8
55,Evan Longoria,TEX,0.5,Total Bases,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,99be30fd-1
56,Gavin Williams,CMC,47.5,Rush Yards,15,2023-10-31 18:00:00-05:00,2023-10-31 18:00:00-05:00,2023-10-31 12:21:00,84b617e5-3
57,Vitor Petrino	,Modestas Bukauskas,2.5,Takedowns,12,2023-11-04 18:40:00-05:00,2023-11-04 18:40:00-05:00,2023-10-31 12:21:00,5ed196e2-0
58,Bonzie Colson,AX Armani Exchange Milan,13.5,PTS,151,2023-10-31 14:30:00-05:00,2023-10-31 14:30:00-05:00,2023-10-31 12:21:00,f7f4ae20-f
59,Ketel Marte,TEX,7.5,Hitter Fantasy Score,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,da6dfe17-e
60,Vitor Petrino	,Modestas Bukauskas,11.0,Fight Time (Mins),12,2023-11-04 18:40:00-05:00,2023-11-04 18:40:00-05:00,2023-10-31 12:21:00,c04fe8c7-0
61,William Nylander + Calle Jarnkrok,LA,0.5,Goals (Combo),8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,762237b4-9
62,Donovan Mitchell + Jalen Brunson,NYK/CLE,6.0,3-PT Made (Combo),7,2023-10-31 18:30:00-05:00,2023-10-31 18:30:00-05:00,2023-10-31 12:21:00,1270f061-6
63,Vitor Petrino	,Modestas Bukauskas,39.5,Significant Strikes,12,2023-11-04 18:40:00-05:00,2023-11-04 18:40:00-05:00,2023-10-31 12:21:00,61148509-4
64,Bonzie Colson,AX Armani Exchange Milan,5.5,TRB,151,2023-10-31 14:30:00-05:00,2023-10-31 14:30:00-05:00,2023-10-31 12:21:00,c6884d2b-b
65,Yagao + Chovy,GEN/BLG (MAPS 1-3 Kills (Combo)),17.0,MAPS 1-3 Kills (Combo),121,2023-11-03 03:00:00-05:00,2023-11-03 03:00:00-05:00,2023-10-31 12:21:00,2b919f8d-3
66,Mitch Garver,ARI,1.5,Hits+Runs+RBIS,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,95c59963-7
67,S. Hunter/E. Mertens,E. Perez/N. Melichar-Martinez (WTA Finals),19.0,Total Games,5,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,0340ba09-d
68,Christian Walker,TEX,1.5,Hits+Runs+RBIS,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,51945331-8
69,Elias Pettersson + Brock Boeser,NSH,0.5,Goals (Combo),8,2023-10-31 21:00:00-05:00,2023-10-31 21:00:00-05:00,2023-10-31 12:21:00,2defe5ad-8
70,Geraldo Perdomo,TEX,0.5,Total Bases,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,814598cf-f
71,Evan Carter,ARI,6.0,Hitter Fantasy Score,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,897070d9-e
72,Kevin Durant + Keldon Johnson,SAS/PHX,48.5,Points (Combo),7,2023-10-31 21:00:00-05:00,2023-10-31 21:00:00-05:00,2023-10-31 12:21:00,12358e30-7
73,Maodo Lo,Maccabi Playtika Tel Aviv,2.5,AST,151,2023-10-31 14:30:00-05:00,2023-10-31 14:30:00-05:00,2023-10-31 12:21:00,5a57ca78-2
74,Trayvon Rudolph,CMC,43.5,Receiving Yards,15,2023-10-31 18:00:00-05:00,2023-10-31 18:00:00-05:00,2023-10-31 12:21:00,31c11959-e
75,Chovy + Faker,BLG/LNG (MAPS 1-3 Kills (Combo)),18.5,MAPS 1-3 Kills (Combo),121,2023-11-03 03:00:00-05:00,2023-11-03 03:00:00-05:00,2023-10-31 12:21:00,663264ee-8
76,Rinat Fakhretdinov,Elizeu Zaleski dos Santos,36.5,Significant Strikes,12,2023-11-04 19:10:00-05:00,2023-11-04 19:10:00-05:00,2023-10-31 12:21:00,4b4dc43f-b
77,Rinat Fakhretdinov,Elizeu Zaleski dos Santos,3.0,Takedowns,12,2023-11-04 19:10:00-05:00,2023-11-04 19:10:00-05:00,2023-10-31 12:21:00,e097ff58-4
78,Rinat Fakhretdinov,Elizeu Zaleski dos Santos,12.5,Fight Time (Mins),12,2023-11-04 19:10:00-05:00,2023-11-04 19:10:00-05:00,2023-10-31 12:21:00,81b93e44-f
79,Maodo Lo,Maccabi Playtika Tel Aviv,8.5,PTS,151,2023-10-31 14:30:00-05:00,2023-10-31 14:30:00-05:00,2023-10-31 12:21:00,7f895d17-e
80,Josh Nebo,AX Armani Exchange Milan,5.5,TRB,151,2023-10-31 14:30:00-05:00,2023-10-31 14:30:00-05:00,2023-10-31 12:21:00,d195123c-0
81,Filip Forsberg + Ryan O'Reilly,VAN,0.5,Goals (Combo),8,2023-10-31 21:00:00-05:00,2023-10-31 21:00:00-05:00,2023-10-31 12:21:00,e6165d41-0
82,Bin + 369,GEN/KT (MAPS 1-3 Kills (Combo)),13.5,MAPS 1-3 Kills (Combo),121,2023-11-03 03:00:00-05:00,2023-11-03 03:00:00-05:00,2023-10-31 12:21:00,b3e517f2-2
83,Jesse Prewitt,NIL,40.5,Receiving Yards,15,2023-10-31 18:00:00-05:00,2023-10-31 18:00:00-05:00,2023-10-31 12:21:00,14708cd8-7
84,Josh Nebo,AX Armani Exchange Milan,8.5,PTS,151,2023-10-31 14:30:00-05:00,2023-10-31 14:30:00-05:00,2023-10-31 12:21:00,bf1f598b-9
85,Christian Walker,TEX,6.5,Hitter Fantasy Score,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,41f0f7fb-1
86,Daniel Marcos	,Victor Hugo,10.0,Fight Time (Mins),12,2023-11-04 19:40:00-05:00,2023-11-04 19:40:00-05:00,2023-10-31 12:21:00,95a76bfd-1
87,Kevin Durant + Victor Wembanyama,SAS/PHX,48.5,Points (Combo),7,2023-10-31 21:00:00-05:00,2023-10-31 21:00:00-05:00,2023-10-31 12:21:00,85144466-e
88,Daniel Marcos	,Victor Hugo,44.5,Significant Strikes,12,2023-11-04 19:40:00-05:00,2023-11-04 19:40:00-05:00,2023-10-31 12:21:00,688216a4-b
89,Jonah Heim,ARI,1.5,Hits+Runs+RBIS,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,8090228e-4
90,Pedro Rangel,Bahia,3.0,Goalie Saves,82,2023-10-31 17:00:00-05:00,2023-10-31 17:00:00-05:00,2023-10-31 12:21:00,5720e6a2-5
91,Mitch Garver,ARI,6.0,Hitter Fantasy Score,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,bb281453-e
92,J.T. Miller + Andrei Kuzmenko,NSH,0.5,Goals (Combo),8,2023-10-31 21:00:00-05:00,2023-10-31 21:00:00-05:00,2023-10-31 12:21:00,e384e26e-a
93,Johannes Voigtmann,Maccabi Playtika Tel Aviv,6.5,PTS,151,2023-10-31 14:30:00-05:00,2023-10-31 14:30:00-05:00,2023-10-31 12:21:00,3193893e-0
94,Lima,Bahia,0.5,Shots On Target,82,2023-10-31 17:00:00-05:00,2023-10-31 17:00:00-05:00,2023-10-31 12:21:00,4727bf17-d
95,Everaldo,Fluminense,1.5,Shots,82,2023-10-31 17:00:00-05:00,2023-10-31 17:00:00-05:00,2023-10-31 12:21:00,8e06f97a-5
96,Jhon Arias,Bahia,1.5,Shots,82,2023-10-31 17:00:00-05:00,2023-10-31 17:00:00-05:00,2023-10-31 12:21:00,92fa0ada-a
97,Yago Felipe,Fluminense,0.5,Shots,82,2023-10-31 17:00:00-05:00,2023-10-31 17:00:00-05:00,2023-10-31 12:21:00,e8b023c4-d
98,Vinicius Mingotti,Fluminense,0.5,Shots On Target,82,2023-10-31 17:00:00-05:00,2023-10-31 17:00:00-05:00,2023-10-31 12:21:00,2f7632b9-0
99,Ademir,Fluminense,0.5,Shots On Target,82,2023-10-31 17:00:00-05:00,2023-10-31 17:00:00-05:00,2023-10-31 12:21:00,2473342e-7
100,Rezende,Fluminense,1.5,Interceptions,82,2023-10-31 17:00:00-05:00,2023-10-31 17:00:00-05:00,2023-10-31 12:21:00,85353003-7
101,Kanu,Fluminense,43.5,Passes Attempted,82,2023-10-31 17:00:00-05:00,2023-10-31 17:00:00-05:00,2023-10-31 12:21:00,0c88a975-b
102,Marcos Felipe,Fluminense,2.5,Goalie Saves,82,2023-10-31 17:00:00-05:00,2023-10-31 17:00:00-05:00,2023-10-31 12:21:00,2f6c57f8-3
103,Peyz + Ruler,BLG/KT (MAPS 1-3 Kills (Combo)),30.0,MAPS 1-3 Kills (Combo),121,2023-11-03 03:00:00-05:00,2023-11-03 03:00:00-05:00,2023-10-31 12:21:00,aa90e545-2
104,Elves Brener	,Esteban Ribovics,2.5,Takedowns,12,2023-11-04 20:10:00-05:00,2023-11-04 20:10:00-05:00,2023-10-31 12:21:00,e33bffd3-3
105,Elves Brener	,Esteban Ribovics,62.5,Significant Strikes,12,2023-11-04 20:10:00-05:00,2023-11-04 20:10:00-05:00,2023-10-31 12:21:00,bbd52296-b
106,Elves Brener	,Esteban Ribovics,14.75,Fight Time (Mins),12,2023-11-04 20:10:00-05:00,2023-11-04 20:10:00-05:00,2023-10-31 12:21:00,d7c371b2-d
107,Andre,Bahia,83.5,Passes Attempted,82,2023-10-31 17:00:00-05:00,2023-10-31 17:00:00-05:00,2023-10-31 12:21:00,82754588-9
108,David Braz,Bahia,0.5,Shots,82,2023-10-31 17:00:00-05:00,2023-10-31 17:00:00-05:00,2023-10-31 12:21:00,ac2cf7ad-f
109,German Cano,Bahia,2.5,Shots,82,2023-10-31 17:00:00-05:00,2023-10-31 17:00:00-05:00,2023-10-31 12:21:00,030d576c-a
110,Rezende,Fluminense,2.0,Tackles,82,2023-10-31 17:00:00-05:00,2023-10-31 17:00:00-05:00,2023-10-31 12:21:00,ad4cbf5e-2
111,Lourdes Gurriel Jr.,TEX,0.5,Hitter Strikeouts,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,d0274f1a-2
112,Lourdes Gurriel Jr.,TEX,1.5,Hits+Runs+RBIS,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,834eee22-f
113,Kevin Durant + Victor Wembanyama,SAS/PHX,14.5,Rebounds (Combo),7,2023-10-31 21:00:00-05:00,2023-10-31 21:00:00-05:00,2023-10-31 12:21:00,51748dbc-c
114,Gabriel Moreno,TEX,5.5,Hitter Fantasy Score,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,ea15efd8-e
115,Ismael Bonfim	,Vinc Pichel,48.5,Significant Strikes,12,2023-11-04 20:40:00-05:00,2023-11-04 20:40:00-05:00,2023-10-31 12:21:00,6794a766-f
116,Anze Kopitar + William Nylander,TOR/LA,5.5,Shots On Goal (Combo),8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,9fd382ed-3
117,Ismael Bonfim	,Vinc Pichel,10.5,Fight Time (Mins),12,2023-11-04 20:40:00-05:00,2023-11-04 20:40:00-05:00,2023-10-31 12:21:00,bda9a626-1
118,Aiming + Gumayusi,JDG/LNG (MAPS 1-3 Kills (Combo)),19.0,MAPS 1-3 Kills (Combo),121,2023-11-04 03:00:00-05:00,2023-11-04 03:00:00-05:00,2023-10-31 12:21:00,2326d208-3
119,Josh Jung,ARI,1.5,Hits+Runs+RBIS,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,3148d0f6-0
120,Kawhi Leonard + Paolo Banchero,ORL/LAC,40.5,Points (Combo),7,2023-10-31 21:30:00-05:00,2023-10-31 21:30:00-05:00,2023-10-31 12:21:00,a1ef72dd-c
121,Antonius Cleveland,AX Armani Exchange Milan,6.5,PTS,151,2023-10-31 14:30:00-05:00,2023-10-31 14:30:00-05:00,2023-10-31 12:21:00,edb91517-8
122,Roberto Alvarado,Querétaro,2.0,Shots,82,2023-10-31 20:00:00-05:00,2023-10-31 20:00:00-05:00,2023-10-31 12:21:00,19e4449c-6
123,Camilo Sanvezzo,Chivas,0.5,Shots On Target,82,2023-10-31 20:00:00-05:00,2023-10-31 20:00:00-05:00,2023-10-31 12:21:00,a1b94b95-6
124,Victor Guzman,Querétaro,2.0,Shots,82,2023-10-31 20:00:00-05:00,2023-10-31 20:00:00-05:00,2023-10-31 12:21:00,c222c646-3
125,Devon Hall,Maccabi Playtika Tel Aviv,5.5,PTS,151,2023-10-31 14:30:00-05:00,2023-10-31 14:30:00-05:00,2023-10-31 12:21:00,ba32f669-e
126,Antonio Briseno,Querétaro,4.0,Clearances,82,2023-10-31 20:00:00-05:00,2023-10-31 20:00:00-05:00,2023-10-31 12:21:00,160f0db4-8
127,Gilberto Sepulveda,Querétaro,45.5,Passes Attempted,82,2023-10-31 20:00:00-05:00,2023-10-31 20:00:00-05:00,2023-10-31 12:21:00,ef43d9f9-8
128,Pablo Barrera,Chivas,30.5,Passes Attempted,82,2023-10-31 20:00:00-05:00,2023-10-31 20:00:00-05:00,2023-10-31 12:21:00,26366a8c-3
129,Guillermo Allison,Chivas,3.5,Goalie Saves,82,2023-10-31 20:00:00-05:00,2023-10-31 20:00:00-05:00,2023-10-31 12:21:00,2363c2fe-9
130,Federico Lertora,Chivas,2.0,Tackles,82,2023-10-31 20:00:00-05:00,2023-10-31 20:00:00-05:00,2023-10-31 12:21:00,bd082a75-a
131,Armen Petrosyan,Rodolfo Vieira,9.5,Fight Time (Mins),12,2023-11-04 21:10:00-05:00,2023-11-04 21:10:00-05:00,2023-10-31 12:21:00,89eb46c1-6
132,Paul George + Paolo Banchero,ORL/LAC,41.5,Points (Combo),7,2023-10-31 21:30:00-05:00,2023-10-31 21:30:00-05:00,2023-10-31 12:21:00,d3f30489-d
133,Roberto Alvarado,Querétaro,0.5,Interceptions,82,2023-10-31 20:00:00-05:00,2023-10-31 20:00:00-05:00,2023-10-31 12:21:00,f61c4aab-9
134,Kevin Escamilla,Chivas,0.5,Interceptions,82,2023-10-31 20:00:00-05:00,2023-10-31 20:00:00-05:00,2023-10-31 12:21:00,c7e15a3d-2
135,Camilo Sanvezzo,Chivas,2.0,Shots,82,2023-10-31 20:00:00-05:00,2023-10-31 20:00:00-05:00,2023-10-31 12:21:00,4f42df1e-7
136,Ricardo Marin,Querétaro,1.5,Shots,82,2023-10-31 20:00:00-05:00,2023-10-31 20:00:00-05:00,2023-10-31 12:21:00,26009423-4
137,Alan Mozo,Querétaro,3.5,Tackles,82,2023-10-31 20:00:00-05:00,2023-10-31 20:00:00-05:00,2023-10-31 12:21:00,168c47e5-0
138,Miguel Jimenez,Querétaro,2.5,Goalie Saves,82,2023-10-31 20:00:00-05:00,2023-10-31 20:00:00-05:00,2023-10-31 12:21:00,aef36b5f-7
139,Emanuel Gularte,Chivas,0.5,Shots,82,2023-10-31 20:00:00-05:00,2023-10-31 20:00:00-05:00,2023-10-31 12:21:00,878634f8-e
140,Oscar Manzanarez,Chivas,0.5,Shots,82,2023-10-31 20:00:00-05:00,2023-10-31 20:00:00-05:00,2023-10-31 12:21:00,f9eb842d-5
141,Tommy Pham,TEX,1.5,Hits+Runs+RBIS,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,40a528fe-0
142,Kevin Fiala + Adrian Kempe,TOR,5.5,Shots On Goal (Combo),8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,c70f2533-4
143,knight + Scout,KT/T1 (MAPS 1-3 Kills (Combo)),25.5,MAPS 1-3 Kills (Combo),121,2023-11-04 03:00:00-05:00,2023-11-04 03:00:00-05:00,2023-10-31 12:21:00,cc37508c-7
144,Armen Petrosyan,Rodolfo Vieira,40.5,Significant Strikes,12,2023-11-04 21:10:00-05:00,2023-11-04 21:10:00-05:00,2023-10-31 12:21:00,4736898b-2
145,Tamir Blatt,AX Armani Exchange Milan,4.5,AST,151,2023-10-31 14:30:00-05:00,2023-10-31 14:30:00-05:00,2023-10-31 12:21:00,1dd9587b-9
146,Adrian Kempe,TOR,3.0,Shots On Goal,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,dc1aa61c-6
147,Auston Matthews,LA,0.5,AST,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,d226ab9f-9
148,Maynter,GO (MAPS 1-3 Kills),5.0,MAPS 1-3 Kills,121,2023-11-01 05:30:00-05:00,2023-11-01 05:30:00-05:00,2023-10-31 12:21:00,82741987-8
149,Kawhi Leonard + Paolo Banchero,ORL/LAC,12.0,Rebounds (Combo),7,2023-10-31 21:30:00-05:00,2023-10-31 21:30:00-05:00,2023-10-31 12:21:00,61f83c44-9
150,Caio Borralho,Abus Magomedov,30.5,Significant Strikes,12,2023-11-04 21:40:00-05:00,2023-11-04 21:40:00-05:00,2023-10-31 12:21:00,9418e4a6-e
151,Tamir Blatt,AX Armani Exchange Milan,1.5,3P,151,2023-10-31 14:30:00-05:00,2023-10-31 14:30:00-05:00,2023-10-31 12:21:00,4bcab2a4-d
152,Auston Matthews + John Tavares,LA,7.5,Shots On Goal (Combo),8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,c5dc07dd-4
