,player,team,line,stat,league,date,time
717,Thomas Kaminski,Nottm Forest,3.5,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
718,Matt Turner,Luton,2.5,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
719,Odsonne Edouard,Newcastle 1st Half,0.5,Shots,242,2023-10-21,2023-10-20 14:02:00
720,Joelinton,Crystal Palace,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
721,Joe Willock,Crystal Palace,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
722,Nick Pope,Crystal Palace 1st Half,1.0,Goalie Saves,242,2023-10-21,2023-10-20 14:02:00
723,Miguel Almiron,Crystal Palace 1st Half,1.0,Shots,242,2023-10-21,2023-10-20 14:02:00
724,Callum Wilson,Crystal Palace,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
725,Marc Guehi,Newcastle,3.5,Clearances,82,2023-10-21,2023-10-20 14:02:00
726,Will Hughes,Newcastle,34.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
727,Fabian Schar,Crystal Palace,3.0,Clearances,82,2023-10-21,2023-10-20 14:02:00
728,Dillon Johnson + Carson Steele,ASU/STA,193.5,Rush Yards (Combo),15,2023-10-21,2023-10-20 14:02:00
729,Sam Johnstone,Newcastle 1st Half,2.0,Goalie Saves,242,2023-10-21,2023-10-20 14:02:00
730,Razork,BLG (MAP 1 Kills),1.5,MAP 1 Kills,121,2023-10-22,2023-10-20 14:02:00
731,Anthony Gordon,Crystal Palace 1st Half,1.0,Shots,242,2023-10-21,2023-10-20 14:02:00
732,Jacob Murphy,Crystal Palace 1st Half,0.5,Shots,242,2023-10-21,2023-10-20 14:02:00
733,Joe Willock,Crystal Palace 1st Half,0.5,Shots,242,2023-10-21,2023-10-20 14:02:00
734,Joelinton,Crystal Palace 1st Half,0.5,Shots,242,2023-10-21,2023-10-20 14:02:00
735,Jean-Philippe Mateta,Newcastle 1st Half,0.5,Shots,242,2023-10-21,2023-10-20 14:02:00
736,Jean-Philippe Mateta,Newcastle,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
737,Jacob Murphy,Crystal Palace,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
738,Odsonne Edouard,Newcastle,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
739,Nick Pope,Crystal Palace,2.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
740,Anthony Gordon,Crystal Palace,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
741,Alexander Isak,Crystal Palace,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
742,Sam Johnstone,Newcastle,4.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
743,Hamed Traore,Wolves 1st Half,0.5,Shots,242,2023-10-21,2023-10-20 14:02:00
744,Jack Grealish,Brighton,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
745,Miguel Almiron,Crystal Palace,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
746,Jack Grealish,Brighton 1st Half,0.5,Shots,242,2023-10-21,2023-10-20 14:02:00
747,Rodri,Brighton 1st Half,0.5,Shots,242,2023-10-21,2023-10-20 14:02:00
748,Ederson,Brighton 1st Half,1.0,Goalie Saves,242,2023-10-21,2023-10-20 14:02:00
749,Jack Grealish,Brighton,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
750,Erling Haaland,Brighton 1st Half,1.0,Shots On Target,242,2023-10-21,2023-10-20 14:02:00
751,Jeremy Doku,Brighton,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
752,Rodri,Brighton,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
753,Julian Alvarez,Brighton,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
754,Erling Haaland,Brighton 1st Half,2.0,Shots,242,2023-10-21,2023-10-20 14:02:00
755,Erling Haaland,Brighton,4.0,Shots,82,2023-10-21,2023-10-20 14:02:00
756,Phil Foden,Brighton,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
757,Jason Steele,Man City,4.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
758,Solly March,Man City,30.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
759,Ederson,Brighton,2.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
760,Erling Haaland,Brighton,2.0,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
761,Jeremy Doku,Brighton,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
762,Rayan Ait-Nouri,Bournemouth,2.0,Tackles,82,2023-10-21,2023-10-20 14:02:00
763,Jose Sa,Bournemouth 1st Half,1.5,Goalie Saves,242,2023-10-21,2023-10-20 14:02:00
764,Rodri,Brighton,89.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
765,Jason Steele,Man City 1st Half,2.0,Goalie Saves,242,2023-10-21,2023-10-20 14:02:00
766,Phil Foden,Brighton 1st Half,1.0,Shots,242,2023-10-21,2023-10-20 14:02:00
767,Joe Willock,Crystal Palace,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
768,Carlton Morris,Nottm Forest 1st Half,1.0,Shots,242,2023-10-21,2023-10-20 14:02:00
769,Lyle Foster,Brentford,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
770,Nathan Redmond,Brentford,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
771,Ethan Pinnock,Burnley,5.0,Clearances,82,2023-10-21,2023-10-20 14:02:00
772,Josh Cullen,Brentford,57.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
773,Zeki Amdouni,Brentford,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
774,Yoane Wissa,Burnley,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
775,James Trafford,Brentford,3.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
776,Zeki Amdouni,Brentford 1st Half,0.5,Shots,242,2023-10-21,2023-10-20 14:02:00
777,Yoane Wissa,Burnley 1st Half,1.0,Shots,242,2023-10-21,2023-10-20 14:02:00
778,Bryan Mbeumo,Burnley,26.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
779,Bryan Mbeumo,Burnley,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
780,Lyle Foster,Brentford 1st Half,0.5,Shots,242,2023-10-21,2023-10-20 14:02:00
781,Jay Rodriguez,Brentford,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
782,Nathan Redmond,Brentford 1st Half,0.5,Shots,242,2023-10-21,2023-10-20 14:02:00
783,Zeki Amdouni,Brentford,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
784,Kieran Trippier,Crystal Palace,68.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
785,Lyle Foster,Brentford,0.5,Shots On Target,82,2023-10-21,2023-10-20 14:02:00
786,Keane Lewis-Potter,Burnley 1st Half,0.5,Shots,242,2023-10-21,2023-10-20 14:02:00
787,James Trafford,Brentford 1st Half,1.5,Goalie Saves,242,2023-10-21,2023-10-20 14:02:00
788,Mark Flekken,Burnley,2.5,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
789,Neal Maupay,Burnley,2.5,Shots,82,2023-10-21,2023-10-20 14:02:00
790,Hwang Hee-Chan,Bournemouth 1st Half,0.5,Shots,242,2023-10-21,2023-10-20 14:02:00
791,Dominic Solanke,Wolves 1st Half,1.5,Shots,242,2023-10-21,2023-10-20 14:02:00
792,Matheus Cunha,Bournemouth 1st Half,1.0,Shots,242,2023-10-21,2023-10-20 14:02:00
793,Pedro Neto,Bournemouth 1st Half,0.5,Shots,242,2023-10-21,2023-10-20 14:02:00
794,Luis Sinisterra,Wolves 1st Half,1.0,Shots,242,2023-10-21,2023-10-20 14:02:00
795,Kieffer Moore,Wolves 1st Half,1.0,Shots,242,2023-10-21,2023-10-20 14:02:00
796,Antoine Semenyo,Wolves 1st Half,0.5,Shots,242,2023-10-21,2023-10-20 14:02:00
797,Marcus Tavernier,Wolves 1st Half,0.5,Shots,242,2023-10-21,2023-10-20 14:02:00
798,Justin Kluivert,Wolves 1st Half,0.5,Shots,242,2023-10-21,2023-10-20 14:02:00
799,Fabio Silva,Bournemouth 1st Half,1.0,Shots,242,2023-10-21,2023-10-20 14:02:00
800,Sasa Kalajdzic,Bournemouth 1st Half,1.0,Shots,242,2023-10-21,2023-10-20 14:02:00
801,Ryan Christie,Wolves 1st Half,0.5,Shots,242,2023-10-21,2023-10-20 14:02:00
802,Ryan Christie,Wolves,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
803,Matheus Cunha,Bournemouth,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
804,Craig Dawson,Bournemouth,4.0,Clearances,82,2023-10-21,2023-10-20 14:02:00
805,Pedro Neto,Bournemouth,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
806,Dominic Solanke,Wolves,3.0,Shots,82,2023-10-21,2023-10-20 14:02:00
807,Hwang Hee-Chan,Bournemouth,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
808,Neto,Wolves,2.5,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
809,Dominic Solanke,Wolves,15.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
810,Jose Sa,Bournemouth,3.0,Goalie Saves,82,2023-10-21,2023-10-20 14:02:00
811,Craig Dawson,Bournemouth,54.5,Passes Attempted,82,2023-10-21,2023-10-20 14:02:00
812,Fabio Silva,Bournemouth,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
813,Luis Sinisterra,Wolves,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
814,Kieffer Moore,Wolves,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
815,Sasa Kalajdzic,Bournemouth,2.0,Shots,82,2023-10-21,2023-10-20 14:02:00
816,Justin Kluivert,Wolves,1.5,Shots,82,2023-10-21,2023-10-20 14:02:00
