,player,opp,line,stat,league,date,scrape_time
184,Kelsey Plum,NYL,4.0,AST,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
185,Kelsey Plum,NYL,19.0,PTS,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
186,Bryce Harper,ATL,7.5,Hitter Fantasy Score,2,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
187,Kelsey Plum,NYL 1st Half,12.5,PTS+TRB+AST,193,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
188,Lucky,Spirit,13.0,MAP 3 Kills,265,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
189,Keenan Allen,Weeks 6-9,28.5,Receptions,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
190,Kelsey Plum,NYL,6.5,FG,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
191,R. Bopanna/M. Ebden,M. Arevalo/J. Rojer (Shanghai),10.0,2nd Set - Total Games,244,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
192,Kelsey Plum,NYL,6.5,3PA,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
193,Haason Reddick,Weeks 6-9,3.25,Sacks,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
194,Max Muncy + Christian Walker + J.D. Martinez,ARI/LAD/ARI,0.5,Home Runs (Combo),2,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
195,Justin Fields,Weeks 6-9,1.5,Rush TDs,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
196,Paul Reed,BOS,8.5,PTS,237,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
197,Joost Luiten,RD1,68.5,Strokes,131,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
198,Tyler Bass,Weeks 6-9,6.5,FG,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
199,R. Bopanna/M. Ebden,M. Arevalo/J. Rojer (Shanghai),20.5,Total Games,5,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
200,Cameron Davis,Adam Svensson,0.0,Birdies or Better Matchup,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
